"","UID","Taxon","Abundance","taxon_lumped","taxon_lumped2","non.alga.flag","motile_sessile","Notes"
"70","Fifth Beach HIGH 2011 5","Acrosiphonia sp.",0.5,"Acrosiphonia","Acrosiphonia","Algae","sessile",""
"71","Fifth Beach HIGH 2011 5","Cladophora columbiana",5,"Cladophora columbiana","Cladophora columbiana","Algae","sessile",""
"72","Fifth Beach HIGH 2011 5","Corallina vancouveriensis",3,"Corallina","Corallina","Algae","sessile",""
"73","Fifth Beach HIGH 2011 5","Elachista fucicola",1.5,"Elachista fucicola","Elachista fucicola","Algae","sessile",""
"74","Fifth Beach HIGH 2011 5","Endocladia muricata",18,"Endocladia muricata","Endocladia muricata","Algae","sessile",""
"75","Fifth Beach HIGH 2011 5","Fucus distichus",23,"Fucus distichus","Fucus distichus","Algae","sessile",""
"76","Fifth Beach HIGH 2011 5","Halosaccion glandiforme",13,"Halosaccion glandiforme","Halosaccion glandiforme","Algae","sessile",""
"77","Fifth Beach HIGH 2011 5","Hildenbrandia sp.",7,"Hildenbrandia","Hildenbrandia","Algae","sessile",""
"78","Fifth Beach HIGH 2011 5","Mastocarpus rigidus",13,"Mastocarpus rigidus","Mastocarpus","Algae","sessile","REVISIT"
"79","Fifth Beach HIGH 2011 5","Mazzaella oregona",5,"Mazzaella oregona","Mazzaella oregona","Algae","sessile",""
"80","Fifth Beach HIGH 2011 5","Nemalion helminthoides",1.5,"Nemalion helminthoides","Nemalion helminthoides","Algae","sessile",""
"81","Fifth Beach HIGH 2011 5","Petrocelis",79,"Petrocelis","Petrocelis","Algae","sessile",""
"82","Fifth Beach HIGH 2011 5","Pyropia perforata",3,"Pyropia perforata","Pyropia","Algae","sessile",""
"83","Fifth Beach HIGH 2011 5","Spongites tumidum",2,"Spongites tumidum","Spongites tumidum","Algae","sessile",""
"84","Fifth Beach HIGH 2011 5","Ulva linza",1,"Ulva linza","Ulva","Algae","sessile",""
"85","Fifth Beach HIGH 2011 6","bare rock",10,"Bare rock","Bare rock","Substratum",NA,""
"86","Fifth Beach HIGH 2011 6","Elachista fucicola",0.5,"Elachista fucicola","Elachista fucicola","Algae","sessile",""
"87","Fifth Beach HIGH 2011 6","Endocladia muricata",1,"Endocladia muricata","Endocladia muricata","Algae","sessile",""
"88","Fifth Beach HIGH 2011 6","Fucus distichus",40,"Fucus distichus","Fucus distichus","Algae","sessile",""
"89","Fifth Beach HIGH 2011 6","Halosaccion glandiforme",1,"Halosaccion glandiforme","Halosaccion glandiforme","Algae","sessile",""
"90","Fifth Beach HIGH 2011 6","Hildenbrandia sp.",8,"Hildenbrandia","Hildenbrandia","Algae","sessile",""
"91","Fifth Beach HIGH 2011 6","Mastocarpus latissimus",8,"Mastocarpus latissimus","Mastocarpus","Algae","sessile","REVISIT"
"92","Fifth Beach HIGH 2011 6","Mastocarpus rigidus",3,"Mastocarpus rigidus","Mastocarpus","Algae","sessile","REVISIT"
"93","Fifth Beach HIGH 2011 6","Mazzaella oregona",4,"Mazzaella oregona","Mazzaella oregona","Algae","sessile",""
"94","Fifth Beach HIGH 2011 6","Nemalion helminthoides",0.5,"Nemalion helminthoides","Nemalion helminthoides","Algae","sessile",""
"95","Fifth Beach HIGH 2011 6","Petrocelis",40,"Petrocelis","Petrocelis","Algae","sessile",""
"96","Fifth Beach HIGH 2011 6","Pyropia perforata",2,"Pyropia perforata","Pyropia","Algae","sessile",""
"97","Fifth Beach HIGH 2011 6","Spongites tumidum",3,"Spongites tumidum","Spongites tumidum","Algae","sessile",""
"98","Fifth Beach HIGH 2011 6","Wildmania schizophylla",1,"Wildmania schizophylla","Pyropia","Algae","sessile",""
"99","Fifth Beach HIGH 2011 7","bare rock",1,"Bare rock","Bare rock","Substratum",NA,""
"100","Fifth Beach HIGH 2011 7","Callithamnion pikeanum",0.5,"Callithamnion pikeanum","Callithamnion pikeanum","Algae","sessile",""
