taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Collinsiella tuberculata,green turf,sheet,green turf,green turf,turf,turf,turf,
Colonial Diatoms,filament,filament,filament,filament,filament,filament,NA,
Colpomenia bullosa,brown turf,sheet,brown turf,brown turf,turf,turf,turf,
Dactylosiphon bullosus,brown turf,sheet,brown turf,brown turf,turf,turf,turf,
Colpomenia peregrina,brown turf,sheet,brown turf,brown turf,turf,turf,turf,
Constantinea subulifera,blade,thick leathery,red blade,blade,red blade,blade,blade,
Corallina,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
articulated.coralline,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina arbuscula,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
"Corallina crust, unknown",articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina frondescens,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina officianalis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina officinalis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina sp.,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina sp. 2,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina sp.1 california,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina sp.1 frondescens,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina sp.2,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina sp.2 frondescens,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Corallina vancouveriensis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
CORALLINE,NA,NA,NA,NA,NA,NA,NA,
"Coralline crust, unknown",crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
coralline.crust,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Costaria costata,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Crusticorallina muricata,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Crusticorallina muricatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Cryptopleura,red turf,sheet,red turf,red turf,turf,turf,turf,
Cryptosiphonia woodii,red turf,finely branching,red turf,red turf,turf,turf,turf,
Cumathamnion decipiens,red turf,sheet,red turf,red turf,turf,turf,turf,
Delesseria decipiens,red turf,sheet,red turf,red turf,turf,turf,turf,
Desmarestia.herbacea,Desmarestiales,thick leathery,Desmarestia,Desmarestia,Desmarestia,Desmarestia,large_brown,Ah shit; calling this kelp because it is functionally similar to a kelp
Desmarestia aculeata,Desmarestiales,thick leathery,Desmarestia,Desmarestia,Desmarestia,Desmarestia,turf,Ah shit
Desmarestia ligulata,Desmarestiales,thick leathery,Desmarestia,Desmarestia,Desmarestia,Desmarestia,large_brown,Ah shit; calling this kelp because it is functionally similar to a kelp
"Diatoms, colonial",filament,filament,filament,filament,filament,filament,NA,
Dictyosiphon,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,
Dictyosiphon foeniculaceus,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,
Dilsea,blade,thick leathery,red blade,blade,red blade,blade,blade,
Dilsea californica,blade,thick leathery,red blade,blade,red blade,blade,blade,
Ectocarpus,filament,filament,filament,filament,filament,filament,thin_turf,
Ectocarpus commensalis,filament,filament,filament,filament,filament,filament,thin_turf,
Ectocarpus siliculosus,filament,filament,filament,filament,filament,filament,thin_turf,
Egregia menziesii,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Elachista fucicola,filament,filament,filament,filament,filament,filament,thin_turf,
Encrusting coralline,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Encrusting corallines,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Encrusting Corraline,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Endocladia muricata,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,
Erythrotrichia carnea,filament,filament,filament,filament,filament,filament,thin_turf,
Farlowia mollis,red turf,finely branching,red turf,red turf,turf,turf,turf,
Fauchea sp.,red turf,sheet,red blade,blade,red blade,blade,turf,
Feldmannia irregularis,filament,filament,filament,filament,filament,filament,thin_turf,
Frederikia sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,
Fucus distichus,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,
Fucus distichus subsp. evanescens,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,
Gelidium sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,
Gloiopeltis furcata,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,
