query,class,family,genus,kingdom,order,phylum,species,subclass,subfamily,subphylum,superkingdom,tribe
Acrochaetium,Florideophyceae,Acrochaetiaceae,Acrochaetium,NA,Acrochaetiales,Rhodophyta,NA,Nemaliophycidae,NA,NA,Eukaryota,NA
Acrosiphonia,Ulvophyceae,Ulotrichaceae,Acrosiphonia,Viridiplantae,Ulotrichales,Chlorophyta,NA,NA,NA,NA,Eukaryota,NA
Ahnfeltia,Florideophyceae,Ahnfeltiaceae,Ahnfeltia,NA,Ahnfeltiales,Rhodophyta,NA,Ahnfeltiophycidae,NA,NA,Eukaryota,NA
Alaria,Phaeophyceae,Alariaceae,Alaria,NA,Laminariales,Ochrophyta,NA,NA,NA,NA,Eukaryota,NA
Analipus,Phaeophyceae,Ralfsiaceae,Analipus,NA,Ralfsiales,Ochrophyta,NA,NA,NA,NA,Eukaryota,NA
Antithamnion,Florideophyceae,Ceramiaceae,Antithamnion,NA,Ceramiales,Rhodophyta,NA,Rhodymeniophycidae,NA,NA,Eukaryota,NA
Antithamnionella,Florideophyceae,Ceramiaceae,Antithamnionella,NA,Ceramiales,Rhodophyta,NA,Rhodymeniophycidae,NA,NA,Eukaryota,NA
Bangia,Bangiophyceae,Bangiaceae,Bangia,NA,Bangiales,Rhodophyta,NA,NA,NA,NA,Eukaryota,NA
Blidingia,Ulvophyceae,Ulvaceae,Blidingia,Viridiplantae,Ulvales,Chlorophyta,NA,NA,NA,NA,Eukaryota,NA
Bossiella,Florideophyceae,Corallinaceae,Bossiella,NA,Corallinales,Rhodophyta,NA,Corallinophycidae,Corallinoideae,NA,Eukaryota,NA
Calliarthron,Florideophyceae,Corallinaceae,Calliarthron,NA,Corallinales,Rhodophyta,NA,Corallinophycidae,Corallinoideae,NA,Eukaryota,NA
Callithamnion,Florideophyceae,Ceramiaceae,Callithamnion,NA,Ceramiales,Rhodophyta,NA,Rhodymeniophycidae,NA,NA,Eukaryota,NA
Callophyllis,Florideophyceae,Kallymeniaceae,Callophyllis,NA,Gigartinales,Rhodophyta,NA,Rhodymeniophycidae,NA,NA,Eukaryota,NA
Ceramium,Florideophyceae,Ceramiaceae,Ceramium,NA,Ceramiales,Rhodophyta,NA,Rhodymeniophycidae,NA,NA,Eukaryota,NA
Chaetomorpha,Ulvophyceae,Cladophoraceae,Chaetomorpha,Viridiplantae,Cladophorales,Chlorophyta,NA,NA,NA,NA,Eukaryota,NA
Chamberlainium,Florideophyceae,Corallinaceae,Chamberlainium,NA,Corallinales,Rhodophyta,NA,Corallinophycidae,Chamberlainoideae,NA,Eukaryota,NA
Chiharaea,Florideophyceae,Corallinaceae,Chiharaea,NA,Corallinales,Rhodophyta,NA,Corallinophycidae,Corallinoideae,NA,Eukaryota,NA
