taxon_corrected,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Bossiella sp.5 chiloensis,Bossiella sp.5 chiloensis,Bossiella_articulate,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Brittle star,Brittle star,Brittle star,Brittle star,Brittle star,Animal,motile,
Brown crust,Brown crust,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,
Bryozoan,Bryozoan,Bryozoan,Bryozoan,Bryozoan,Animal,sessile,
Calliarthron tuberculosum,Calliarthron tuberculosum,Calliarthron tuberculosum,Calliarthron tuberculosum,Calliarthron tuberculosum,Algae,sessile,
Calliostoma,Calliostoma,Calliostoma,Calliostoma,Calliostoma,Animal,motile,
Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,
Callophyllis sp.,Callophyllis sp.,Callophyllis sp.,Callophyllis sp.,Callophyllis sp.,Algae,sessile,
Ceramium codicola,Ceramium codicola,Ceramium codicola,Ceramium codicola,Ceramium codicola,Algae,sessile,
Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,
Chaetomorpha cannabina,Chaetomorpha cannabina,Chaetomorpha cannabina,Chaetomorpha cannabina,Chaetomorpha cannabina,Algae,sessile,
Chiharaea bodegensis,Chiharaea bodegensis,Chiharaea bodegensis,Chiharaea bodegensis,Chiharaea bodegensis,Algae,sessile,
Chiharaea rhododactyla,Chiharaea rhododactyla,Chiharaea rhododactyla,Chiharaea rhododactyla,Chiharaea rhododactyla,Algae,sessile,
Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Algae,sessile,
Chiton,Chiton,Chiton,Chiton,Chiton,Animal,motile,
Chlorostoma sp.,Chlorostoma sp.,Chlorostoma sp.,Chlorostoma sp.,Chlorostoma sp.,Animal,motile,
Chthamalus dalli,Chthamalus dalli,Barnacles,Barnacles,Barnacles,Animal,sessile,
Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,
Cladophora sericea,Cladophora sericea,Cladophora sericea,Cladophora sericea,Cladophora sericea,Algae,sessile,
Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Algae,sessile,
Clam,Clam,Clam,Clam,Clam,Animal,motile,
Clam hole,Clam hole,Clam hole,Clam hole,Clam hole,Animal,motile,
Clam shell,Clam shell,Clam shell,Clam shell,Clam shell,Substratum,NA,
Codium fragile,Codium fragile,Codium fragile,Codium fragile,Codium fragile,Algae,sessile,
Codium setchellii,Codium setchellii,Codium setchellii,Codium setchellii,Codium setchellii,Algae,sessile,
Collinsiella tuberculata,Collinsiella tuberculata,Collinsiella tuberculata,Collinsiella tuberculata,Collinsiella tuberculata,Algae,sessile,
Colonial Diatoms,Colonial Diatoms,Colonial Diatoms,Colonial Diatoms,Colonial Diatoms,Algae,sessile,
Colpomenia bullosa,Colpomenia bullosa,Colpomenia bullosa,Colpomenia bullosa,Colpomenia bullosa,Algae,sessile,
Colpomenia peregrina,Colpomenia peregrina,Colpomenia peregrina,Colpomenia peregrina,Colpomenia peregrina,Algae,sessile,
Constantinea subulifera,Constantinea subulifera,Constantinea subulifera,Constantinea subulifera,Constantinea subulifera,Algae,sessile,
