taxon,taxon_corrected,kingdom,sessile,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Acmaea mitra,Acmaea mitra,Animal,motile,Acmaea mitra,Acmaea mitra,Acmaea mitra,Acmaea mitra,Animal,motile,NA
Acrochaetium sp.,Acrochaetium sp.,Algae,sessile,Acrochaetium sp.,Acrochaetium sp.,Acrochaetium sp.,Acrochaetium sp.,Algae,sessile,NA
Acrosiphonia arcta,Acrosiphonia arcta,Algae,sessile,Acrosiphonia arcta,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA
Acrosiphonia coalita,Acrosiphonia coalita,Algae,sessile,Acrosiphonia coalita,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA
Acrosiphonia,Acrosiphonia spp.,Algae,sessile,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA
Acrosiphonia sp.,Acrosiphonia spp.,Algae,sessile,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA
Acrosiphonia spp.,Acrosiphonia spp.,Algae,sessile,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA
Acrosiphonia combined,Acrosiphonia spp.,Algae,sessile,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA
Ahnfeltia fastigiata,Ahnfeltia fastigiata,Algae,sessile,Ahnfeltia fastigiata,Ahnfeltia fastigiata,Ahnfeltia fastigiata,Ahnfeltia fastigiata,Algae,sessile,NA
Alaria,Alaria marginata,Algae,sessile,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA
Alaria marginata,Alaria marginata,Algae,sessile,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA
Amphipoda,Amphipoda,Animal,motile,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Animal,motile,NA
Amphiporus,Amphiporus,Animal,motile,Amphiporus,Amphiporus,Nemertea,Nemertea,Animal,motile,NA
Cf. Amphissa columbiana,Amphissa sp.,Animal,motile,Amphissa sp.,Amphissa sp.,Amphissa sp.,Amphissa sp.,Animal,motile,NA
Analipus japonicus,Analipus japonicus,Algae,sessile,Analipus japonicus,Analipus japonicus,Analipus japonicus,Analipus japonicus,Algae,sessile,NA
Anemone,Anemone,Animal,sessile,Anemone,Anemone,Anemone,Anemone,Animal,sessile,NA
"Anemone, unknown",Anemone,Animal,sessile,Anemone,Anemone,Anemone,Anemone,Animal,sessile,NA
Anthopleura elegantisima,Anthopleura elegantissima,Animal,sessile,Anthopleura elegantissima,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Anthopleura elegantissima,Anthopleura elegantissima,Animal,sessile,Anthopleura elegantissima,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Anthopleura,Anthopleura sp.,Animal,sessile,Anthopleura sp.,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Anthopleura xanthagrammica,Anthopleura xanthogrammica,Animal,sessile,Anthopleura xanthogrammica,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Anthopleura xanthgrammica,Anthopleura xanthogrammica,Animal,sessile,Anthopleura xanthogrammica,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Anthopleura xanthogrammica,Anthopleura xanthogrammica,Animal,sessile,Anthopleura xanthogrammica,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Anthopleura zanthogrammica,Anthopleura xanthogrammica,Animal,sessile,Anthopleura xanthogrammica,Anthopleura sp.,Anemone,Anemone,Animal,sessile,NA
Antithamnion defectum,Antithamnion defectum,Algae,sessile,Antithamnion defectum,Antithamnion defectum,Antithamnion defectum,Antithamnion defectum,Algae,sessile,NA
Antithamnionella floccosa,Antithamnionella spp.,Algae,sessile,Antithamnionella spp.,Antithamnionella spp.,Antithamnionella spp.,Antithamnionella spp.,Algae,sessile,NA
Antithamnionella pacifica,Antithamnionella spp.,Algae,sessile,Antithamnionella spp.,Antithamnionella spp.,Antithamnionella spp.,Antithamnionella spp.,Algae,sessile,NA
articulated coralline,articulated coralline,Algae,sessile,articulated coralline,articulated coralline,articulated coralline,articulated coralline,Algae,sessile,NA
Balanus glandula,Balanus glandula,Animal,sessile,Balanus glandula,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Balanus,Balanus sp.,Animal,sessile,Balanus sp.,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Bangia,Bangia sp.,Algae,sessile,Bangia sp.,Bangia sp.,Bangia sp.,Bangia sp.,Algae,sessile,NA
Bangia sp.,Bangia sp.,Algae,sessile,Bangia sp.,Bangia sp.,Bangia sp.,Bangia sp.,Algae,sessile,NA
bare rock,bare rock,Substratum,NA,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA
Bare rock,bare rock,Substratum,NA,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA
Bare Rock,bare rock,Substratum,NA,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA
BARE ROCK,bare rock,Substratum,NA,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA
BARE ROCK / SUBSTRATE,bare rock,Substratum,NA,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA
BARE SAND,bare rock,Substratum,NA,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA
Barnacle,Barnacle,Animal,sessile,Barnacle,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Barnacle sp.,Barnacle,Animal,sessile,Barnacle,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Barnacles,Barnacle,Animal,sessile,Barnacle,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Bittium?,Bittium,Animal,motile,Bittium,Bittium,Bittium,Snail,Animal,motile,NA
Black spots on Fucus,Black spots on Fucus,Algae,sessile,Black spots on Fucus,Black spots on Fucus,Black spots on Fucus,Black spots on Fucus,Algae,sessile,"unknown what this is, but we consider it a filament (see functional_groups.csv)"
Blenny,Blenny,Animal,motile,Blenny,Blenny,Blenny,Fish,Animal,motile,NA
Blidingia dawsonii,Blidingia dawsonii,Algae,sessile,Blidingia dawsonii,Blidingia,Blidingia,Blidingia,Algae,sessile,NA
Blidingia minima,Blidingia minima,Algae,sessile,Blidingia minima,Blidingia,Blidingia,Blidingia,Algae,sessile,NA
Blidingia sp.,Blidingia sp.,Algae,sessile,Blidingia sp.,Blidingia,Blidingia,Blidingia,Algae,sessile,NA
Bossiella californica,Bossiella californica,Algae,sessile,Bossiella californica,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella dichotoma,Bossiella dichotoma,Algae,sessile,Bossiella dichotoma,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella exarticulata,Bossiella exarticulata / mayae,Algae,sessile,Bossiella exarticulata / mayae,Bossiella crust,Bossiella crust,coralline crust,Algae,sessile,NA
Bossiella mayae,Bossiella exarticulata / mayae,Algae,sessile,Bossiella exarticulata / mayae,Bossiella crust,Bossiella crust,coralline crust,Algae,sessile,NA
Bossiella exarticulata / mayae,Bossiella exarticulata / mayae,Algae,sessile,Bossiella exarticulata / mayae,Bossiella crust,Bossiella crust,coralline crust,Algae,sessile,NA
Bossiella mayae/exarticulata,Bossiella exarticulata / mayae,Algae,sessile,Bossiella exarticulata / mayae,Bossiella crust,Bossiella crust,coralline crust,Algae,sessile,NA
