Fidelity ,FB,MC,NB,WB, SUM,,Top 20 Faithful Species per Community >33%,,,,,,,,,Acr_sp,Acrochaetium sp.,Red
Ral_sp,16%,30%,26%,28%,69,,,,,,,,,,,Cor_sp2,Corallina sp.2 frondescens,Coralline
Lit_phy,17%,2%,58%,23%,65,,,,,,,,,,,Cor_van,Corallina vancouveriensis,Coralline
Pti_ser,57%,0%,12%,31%,58,,,,,,,,,,,Cor_crust,"Coralline crust, unknown",Coralline
Pyr_fuc,46%,0%,24%,30%,54,,,,,,,,,,,Cos_cos,Costaria costata,Kelp 
Pri_ste,21%,4%,26%,49%,53,,,,,,,,,,,Cru_mur,Crusticorallina muricata,Coralline
Egr_men,4%,0%,10%,86%,51,,,,,,,,,,,Cry_woo,Cryptosiphonia woodii,Red
Neo_sub,6%,0%,6%,88%,51,,,,,,,,,,,Cum_dec,Cumathamnion decipiens,Red
Neo_rec,22%,0%,69%,10%,51,,,,,,,,,,,Des_acu,Desmarestia aculeata,Brown 
Maz_parv,60%,8%,8%,24%,50,,,,,,,,,,,Des_lig,Desmarestia ligulata,Brown 
Far_mol,61%,2%,12%,24%,49,,,,,,,,,,,Diatom,"Diatoms, colonial",n/a
Pal_hec,6%,0%,0%,94%,48,,,,,,,,,,,Dic_sin,Dictyosiphon sinicola,Brown 
Mas_rig,47%,0%,31%,22%,45,,,,,,,,,,,Dil_cal,Dilsea californica,Red
Pti_fine,20%,0%,11%,69%,45,,,,,,,,,,,Ect_com,Ectocarpus commensalis (on Saccharina),Brown 
Dil_cal,80%,2%,0%,18%,44,,,,,,,,,,,Egr_men,Egregia menziesii,Kelp 
Ulv_pro,0%,100%,0%,0%,42,,,,,,,,,,,Ela_fuc,Elachista fucicola,Brown 
Hil_sp,15%,0%,28%,58%,40,,,,,,,,,,,End_mur,Endocladia muricata,Red
Nem_hel,79%,0%,18%,3%,38,,,,,,,,,,,Ery_car,Erythrotrichia carnea,Red
Cor_sp1,25%,0%,69%,6%,36,,,,,,,,,,,Far_mol,Farlowia mollis,Red
Ana_jap,63%,0%,20%,17%,35,,,,,,,,,,,Fre_sp,Frederikia sp.,Red
Cod_fra,11%,0%,29%,60%,35,,,,,,,,,,,Fuc_dis,Fucus distichus,Brown 
Mas_int,29%,9%,18%,44%,34,,,,,,,,,,,Gel_sp,Gelidium sp.,Red
Bos_chi5,25%,0%,69%,6%,32,,,,,,,,,,,Glo_lac,Gloiocladia laciniata,Red
Pal_mol,19%,32%,0%,48%,31,,,,,,,,,,,Glo_fur,Gloiopeltis furcata (including base only),Red
Lom_hak,14%,55%,0%,31%,29,,,,,,,,,,,Gra_pac,Gracilaria pacifica,Red
Hym_set,54%,0%,39%,7%,28,,,,,,,,,,,Hal_gla,Halosaccion glandiforme,Red
Col_per,0%,89%,0%,11%,27,,,,,,,,,,,Her_plu,Herposiphonia plumula,Red
Osm_spe,15%,0%,4%,81%,27,,,,,,,,,,,Hil_occ,Hildenbrandia occidentalis (thick),Red
Sch_pac,26%,0%,52%,22%,27,,,,,,,,,,,Hil_rub,Hildenbrandia rubra (thin),Red
Sar_mut,0%,100%,0%,0%,26,,,,,,,,,,,Hil_sp,Hildenbrandia sp.,Red
Bli_min,12%,48%,4%,36%,25,,,,,,,,,,,Hol_sub,Hollenbergia subulata,Red
Cos_cos,12%,0%,52%,36%,25,,,,,,,,,,,Hym_Cryp,Hymenena / Cryptopleura sp.,Red
Phy_ser,20%,0%,16%,64%,25,,,,,,,,,,,Hym_set,Hymenena setchellii,Red
