ID,Site,Transect,StartEnd,UTMn,UTMe,Note
Meay_High_23,,,23,5723957.097,562421.1217,
Meay_High_24,,,24,5723956.12,562421.3326,
Meay_High_25,,,25,5723955.142,562421.5435,
Meay_High_26,,,26,5723954.165,562421.7544,
Meay_High_27,,,27,5723953.187,562421.9653,
Meay_High_28,,,28,5723952.21,562422.1762,
Meay_High_29,,,29,5723951.232,562422.3871,
Meay_High_30,,,30,5723950.255,562422.598,
Meay_High_31,,,31,5723949.277,562422.8089,
Meay_High_32,,,32,5723948.3,562423.0198,
Meay_High_33,,,33,5723947.322,562423.2307,
Meay_High_34,,,34,5723946.345,562423.4416,
Meay_High_35,,,35,5723945.367,562423.6525,
Meay_High_36,MEAY,High,End,5723944.03,562423.941,Was called Meay_High_2
Foggy Low 0,WB,Low,Start,5722602.173,559255.4621,
Foggy Low 1,,,1,5722601.574,559254.6613,
Foggy Low 2,,,2,5722600.975,559253.8604,
Foggy Low 3,,,3,5722600.376,559253.0595,
Foggy Low 4,,,4,5722599.777,559252.2586,
Foggy Low 5,,,5,5722599.178,559251.4578,
Foggy Low 6,,,6,5722598.58,559250.6569,
Foggy Low 7,,,7,5722597.981,559249.856,
Foggy Low 8,,,8,5722597.382,559249.0552,
Foggy Low 9,,,9,5722596.783,559248.2543,
Foggy Low 10,,,10,5722596.184,559247.4534,
Foggy Low 11,,,11,5722595.585,559246.6525,
Foggy Low 12,,,12,5722594.987,559245.8517,
Foggy Low 13,,,13,5722594.388,559245.0508,
Foggy Low 14,,,14,5722593.789,559244.2499,
Foggy Low 15,,,15,5722593.19,559243.449,
Foggy Low 16,,,16,5722592.591,559242.6482,
Foggy Low 17,,,17,5722591.992,559241.8473,
Foggy Low 18,,,18,5722591.393,559241.0464,
Foggy Low 19,,,19,5722590.795,559240.2456,
Foggy Low 20,,,20,5722590.196,559239.4447,
Foggy Low 21,,,21,5722589.597,559238.6438,
Foggy Low 22,,,22,5722588.998,559237.8429,
Foggy Low 23,,,23,5722588.399,559237.0421,
Foggy Low 24,,,24,5722587.8,559236.2412,
Foggy Low 25,,,25,5722587.202,559235.4403,
Foggy Low 26,,,26,5722586.603,559234.6394,
Foggy Low 27,,,27,5722586.004,559233.8386,
Foggy Low 28,,,28,5722585.405,559233.0377,
Foggy Low 29,,,29,5722584.806,559232.2368,
Foggy Low 30,,,30,5722584.207,559231.436,
Foggy Low 31,,,31,5722583.609,559230.6351,
Foggy Low 32,,,32,5722583.01,559229.8342,
Foggy Low 33,,,33,5722582.411,559229.0333,
Foggy Low 34,,,34,5722581.812,559228.2325,
Foggy Low 35,,,35,5722581.213,559227.4316,
Foggy Low 36.5,WB,Low,End,5722580.629,559226.6504,
Foggy Mid 0,WB,Mid,Start,5722590.849,559275.6088,
Foggy Mid 1,,,1,5722590.249,559274.8085,
Foggy Mid 2,,,2,5722589.65,559274.0083,
Foggy Mid 3,,,3,5722589.05,559273.208,
Foggy Mid 4,,,4,5722588.45,559272.4077,
Foggy Mid 5,,,5,5722587.851,559271.6075,
Foggy Mid 6,,,6,5722587.251,559270.8072,
Foggy Mid 7,,,7,5722586.651,559270.0069,
Foggy Mid 8,,,8,5722586.052,559269.2067,
Foggy Mid 9,,,9,5722585.452,559268.4064,
Foggy Mid 10,,,10,5722584.853,559267.6061,
Foggy Mid 11,,,11,5722584.253,559266.8059,
Foggy Mid 12,,,12,5722583.653,559266.0056,
Foggy Mid 13,,,13,5722583.054,559265.2053,
Foggy Mid 14,,,14,5722582.454,559264.4051,
Foggy Mid 15,,,15,5722581.854,559263.6048,
Foggy Mid 16,,,16,5722581.255,559262.8045,
Foggy Mid 17,,,17,5722580.655,559262.0043,
Foggy Mid 18,,,18,5722580.055,559261.204,
Foggy Mid 19,,,19,5722579.456,559260.4038,
Foggy Mid 20,,,20,5722578.856,559259.6035,
Foggy Mid 21,,,21,5722578.256,559258.8032,
Foggy Mid 22,,,22,5722577.657,559258.003,
Foggy Mid 23,,,23,5722577.057,559257.2027,
Foggy Mid 24,,,24,5722576.457,559256.4024,
Foggy Mid 25,,,25,5722575.858,559255.6022,
Foggy Mid 26,,,26,5722575.258,559254.8019,
Foggy Mid 27,,,27,5722574.659,559254.0016,
Foggy Mid 28,,,28,5722574.059,559253.2014,
Foggy Mid 29,,,29,5722573.459,559252.4011,
Foggy Mid 30,,,30,5722572.86,559251.6008,
Foggy Mid 31,,,31,5722572.26,559250.8006,
Foggy Mid 32,,,32,5722571.66,559250.0003,
Foggy Mid 33,,,33,5722571.061,559249.2,
Foggy Mid 34,,,34,5722570.461,559248.3998,
Foggy Mid 35,,,35,5722569.861,559247.5995,
Foggy Mid 36,,,36,5722569.262,559246.7992,
Foggy Mid 37,,,37,5722568.662,559245.999,
Foggy Mid 38,,,38,5722568.062,559245.1987,
Foggy Mid 39,,,39,5722567.463,559244.3984,
Foggy Mid 40,,,40,5722566.863,559243.5982,
Foggy Mid 41,,,41,5722566.263,559242.7979,
Foggy Mid 42,,,42,5722565.664,559241.9976,
Foggy Mid 43,,,43,5722565.064,559241.1974,
Foggy Mid 44,,,44,5722564.465,559240.3971,
Foggy Mid 45,,,45,5722563.865,559239.5969,
Foggy Mid 46,,,46,5722563.265,559238.7966,
Foggy Mid 47,,,47,5722562.666,559237.9963,
Foggy Mid 48,,,48,5722562.066,559237.1961,
Foggy Mid 49,WB,Mid,End,5722561.661,559236.6559,
Foggy High 0,WB,High,Start,5722571.036,559288.0958,
Foggy High 1,,,1,5722570.272,559287.4511,
Foggy High 2,,,2,5722569.507,559286.8064,
Foggy High 3,,,3,5722568.743,559286.1618,
Foggy High 4,,,4,5722567.979,559285.5171,
Foggy High 5,,,5,5722567.214,559284.8724,
Foggy High 6,,,6,5722566.45,559284.2277,
Foggy High 7,,,7,5722565.685,559283.583,
Foggy High 8,,,8,5722564.921,559282.9383,
Foggy High 9,,,9,5722564.156,559282.2937,
Foggy High 10,,,10,5722563.392,559281.649,
Foggy High 11,,,11,5722562.627,559281.0043,
Foggy High 12,,,12,5722561.863,559280.3596,
Foggy High 13,,,13,5722561.099,559279.7149,
Foggy High 14,,,14,5722560.334,559279.0703,
Foggy High 15,,,15,5722559.57,559278.4256,
Foggy High 16,,,16,5722558.805,559277.7809,
Foggy High 17,,,17,5722558.041,559277.1362,
Foggy High 18,,,18,5722557.276,559276.4915,
Foggy High 19,,,19,5722556.512,559275.8468,
Foggy High 20,,,20,5722555.747,559275.2022,
Foggy High 21,,,21,5722554.983,559274.5575,
Foggy High 22,,,22,5722554.218,559273.9128,
Foggy High 23,,,23,5722553.454,559273.2681,
Foggy High 24,,,24,5722552.69,559272.6234,
Foggy High 25,,,25,5722551.925,559271.9787,
Foggy High 26,,,26,5722551.161,559271.3341,
Foggy High 27,,,27,5722550.396,559270.6894,
Foggy High 28,,,28,5722549.632,559270.0447,
Foggy High 29,,,29,5722548.867,559269.4,
Foggy High 30,,,30,5722548.103,559268.7553,
Foggy High 31,,,31,5722547.338,559268.1106,
Foggy High 32,,,32,5722546.574,559267.466,
Foggy High 33,,,33,5722545.81,559266.8213,
Foggy High 34,,,34,5722545.045,559266.1766,
Foggy High 35,,,35,5722544.281,559265.5319,
Foggy High 36,,,36,5722543.516,559264.8872,
Foggy High 37,,,37,5722542.752,559264.2425,
Foggy High 38,,,38,5722541.987,559263.5979,
Foggy High 39,,,39,5722541.223,559262.9532,
Foggy High 40,,,40,5722540.458,559262.3085,
Foggy High 41,,,41,5722539.694,559261.6638,
Foggy High 42,,,42,5722538.929,559261.0191,
Foggy High 43,,,43,5722538.165,559260.3744,
Foggy High 45,WB,High,End,5722537.279,559259.6271,
