PHARE DE L'ÎLE KAINS: TOUS LES JOURS LA TEMPÉRATURE ET SALINITÉ DE SURFACE DE LA MER,,,,
"DATE
(AAAA-MM-JJ)","DEGRÉ DE SALINITÉ  
(USP)","TEMPÉRATURE 
( C )","LATITUDE
(DEGRÉS DÉCIMAUX)","LONGITUDE
(DEGRÉS DÉCIMAUX)"
1/1/1935,30.9,7.7,50.4412,-128.0324
1/2/1935,27.1,7,50.4412,-128.0324
1/3/1935,27.1,7.5,50.4412,-128.0324
1/4/1935,27.6,7.5,50.4412,-128.0324
1/5/1935,29.2,7.7,50.4412,-128.0324
1/6/1935,29.5,8,50.4412,-128.0324
1/7/1935,27.9,7.7,50.4412,-128.0324
1/8/1935,28.3,7.7,50.4412,-128.0324
1/9/1935,28.9,8,50.4412,-128.0324
1/10/1935,29.1,8,50.4412,-128.0324
1/11/1935,28.9,7.5,50.4412,-128.0324
1/12/1935,29.4,6,50.4412,-128.0324
1/13/1935,29.4,7,50.4412,-128.0324
1/14/1935,99.9,99.9,50.4412,-128.0324
1/15/1935,29.6,6.3,50.4412,-128.0324
1/16/1935,29.4,5.4,50.4412,-128.0324
1/17/1935,29.7,5.4,50.4412,-128.0324
1/18/1935,30,6,50.4412,-128.0324
1/19/1935,30.4,6,50.4412,-128.0324
1/20/1935,30.5,6.3,50.4412,-128.0324
1/21/1935,30.2,6.7,50.4412,-128.0324
1/22/1935,30.2,6.5,50.4412,-128.0324
1/23/1935,30,6.7,50.4412,-128.0324
1/24/1935,29.9,7,50.4412,-128.0324
1/25/1935,28.3,7,50.4412,-128.0324
1/26/1935,27.5,7.3,50.4412,-128.0324
1/27/1935,29.4,7,50.4412,-128.0324
1/28/1935,24.4,7.5,50.4412,-128.0324
1/29/1935,25.6,7.5,50.4412,-128.0324
1/30/1935,28.1,8,50.4412,-128.0324
1/31/1935,27.6,8,50.4412,-128.0324
2/1/1935,25.1,8,50.4412,-128.0324
2/2/1935,24.7,8.5,50.4412,-128.0324
2/3/1935,24.7,8.3,50.4412,-128.0324
2/4/1935,25.6,8,50.4412,-128.0324
2/5/1935,27.4,7.5,50.4412,-128.0324
2/6/1935,27.6,7.3,50.4412,-128.0324
2/7/1935,28.3,7.7,50.4412,-128.0324
2/8/1935,28,7.7,50.4412,-128.0324
2/9/1935,27.8,7.7,50.4412,-128.0324
2/10/1935,28.3,7.5,50.4412,-128.0324
2/11/1935,28.5,7.7,50.4412,-128.0324
2/12/1935,28.2,7.5,50.4412,-128.0324
2/13/1935,28.4,7.3,50.4412,-128.0324
2/14/1935,28.1,7.3,50.4412,-128.0324
2/15/1935,28.1,7.7,50.4412,-128.0324
2/16/1935,27.5,7.5,50.4412,-128.0324
2/17/1935,27.5,7.7,50.4412,-128.0324
2/18/1935,28.4,7.3,50.4412,-128.0324
2/19/1935,29.6,7.5,50.4412,-128.0324
2/20/1935,29.6,7.7,50.4412,-128.0324
2/21/1935,28.1,7.7,50.4412,-128.0324
2/22/1935,28.4,8,50.4412,-128.0324
2/23/1935,28.2,8,50.4412,-128.0324
2/24/1935,28,8,50.4412,-128.0324
2/25/1935,28.7,8,50.4412,-128.0324
2/26/1935,28.2,7.7,50.4412,-128.0324
2/27/1935,28,8,50.4412,-128.0324
2/28/1935,28.4,7.7,50.4412,-128.0324
3/1/1935,28.8,8,50.4412,-128.0324
3/2/1935,29.5,8,50.4412,-128.0324
3/3/1935,29.1,7.7,50.4412,-128.0324
3/4/1935,29.1,7.5,50.4412,-128.0324
3/5/1935,29.3,7.5,50.4412,-128.0324
3/6/1935,29.3,7,50.4412,-128.0324
3/7/1935,29.4,7.5,50.4412,-128.0324
3/8/1935,29.5,7.7,50.4412,-128.0324
3/9/1935,29.7,8.7,50.4412,-128.0324
3/10/1935,30.1,8,50.4412,-128.0324
3/11/1935,29.8,7.7,50.4412,-128.0324
3/12/1935,30.1,7.7,50.4412,-128.0324
3/13/1935,29.7,7.7,50.4412,-128.0324
3/14/1935,26.4,7.3,50.4412,-128.0324
3/15/1935,28.3,7.5,50.4412,-128.0324
3/16/1935,29.3,7.7,50.4412,-128.0324
3/17/1935,27.3,7.5,50.4412,-128.0324
3/18/1935,28.4,7.7,50.4412,-128.0324
3/19/1935,29.3,7.5,50.4412,-128.0324
3/20/1935,28.8,7.7,50.4412,-128.0324
3/21/1935,28.8,7.3,50.4412,-128.0324
3/22/1935,28.7,7.3,50.4412,-128.0324
3/23/1935,30,7.5,50.4412,-128.0324
3/24/1935,29.8,7.5,50.4412,-128.0324
3/25/1935,28.2,7.5,50.4412,-128.0324
3/26/1935,29.2,7.7,50.4412,-128.0324
3/27/1935,30.5,7.7,50.4412,-128.0324
3/28/1935,29.1,7.5,50.4412,-128.0324
3/29/1935,28.5,7.3,50.4412,-128.0324
3/30/1935,29,7.3,50.4412,-128.0324
3/31/1935,29.2,7.3,50.4412,-128.0324
4/1/1935,29.8,7.5,50.4412,-128.0324
4/2/1935,29.8,7.7,50.4412,-128.0324
4/3/1935,30.2,8,50.4412,-128.0324
4/4/1935,30.4,8,50.4412,-128.0324
4/5/1935,30.3,7.7,50.4412,-128.0324
4/6/1935,30.3,8,50.4412,-128.0324
4/7/1935,30.2,8.3,50.4412,-128.0324
4/8/1935,30.2,8.5,50.4412,-128.0324
4/9/1935,30.3,9,50.4412,-128.0324
4/10/1935,30.4,8.7,50.4412,-128.0324
4/11/1935,30.3,8.7,50.4412,-128.0324
4/12/1935,30.5,8.7,50.4412,-128.0324
4/13/1935,30.4,8.7,50.4412,-128.0324
4/14/1935,30.8,8.7,50.4412,-128.0324
4/15/1935,30.8,8.7,50.4412,-128.0324
4/16/1935,30.6,8.7,50.4412,-128.0324
4/17/1935,31.2,8.5,50.4412,-128.0324
4/18/1935,30.9,8.7,50.4412,-128.0324
4/19/1935,30.7,8.3,50.4412,-128.0324
4/20/1935,29.6,8.7,50.4412,-128.0324
4/21/1935,29.9,8.7,50.4412,-128.0324
4/22/1935,30.5,9,50.4412,-128.0324
4/23/1935,30.1,9,50.4412,-128.0324
4/24/1935,30.6,9,50.4412,-128.0324
4/25/1935,30,8.5,50.4412,-128.0324
4/26/1935,99.9,99.9,50.4412,-128.0324
4/27/1935,30.3,8.7,50.4412,-128.0324
4/28/1935,30.5,9,50.4412,-128.0324
4/29/1935,30.3,9.4,50.4412,-128.0324
4/30/1935,30.6,9.4,50.4412,-128.0324
5/1/1935,30.6,9.7,50.4412,-128.0324
5/2/1935,30.7,10,50.4412,-128.0324
5/3/1935,30.8,10,50.4412,-128.0324
5/4/1935,30.5,10,50.4412,-128.0324
5/5/1935,30.8,10,50.4412,-128.0324
5/6/1935,31.5,9.7,50.4412,-128.0324
5/7/1935,30.9,9.7,50.4412,-128.0324
5/8/1935,31.2,9.7,50.4412,-128.0324
5/9/1935,31.5,9,50.4412,-128.0324
5/10/1935,30.9,8.7,50.4412,-128.0324
5/11/1935,31.3,8.7,50.4412,-128.0324
5/12/1935,31.7,9,50.4412,-128.0324
5/13/1935,31.8,9,50.4412,-128.0324
5/14/1935,31.4,9.7,50.4412,-128.0324
5/15/1935,31.4,9.4,50.4412,-128.0324
5/16/1935,31.1,10,50.4412,-128.0324
5/17/1935,31.3,10.3,50.4412,-128.0324
5/18/1935,31.6,10.3,50.4412,-128.0324
5/19/1935,31.5,10,50.4412,-128.0324
5/20/1935,31.5,10.3,50.4412,-128.0324
5/21/1935,31.4,10.5,50.4412,-128.0324
5/22/1935,31.6,10,50.4412,-128.0324
5/23/1935,31.7,9.7,50.4412,-128.0324
5/24/1935,31.6,10,50.4412,-128.0324
5/25/1935,31.6,10,50.4412,-128.0324
5/26/1935,31.5,9.4,50.4412,-128.0324
5/27/1935,31.8,10,50.4412,-128.0324
5/28/1935,31.6,10,50.4412,-128.0324
5/29/1935,31.7,10.5,50.4412,-128.0324
5/30/1935,99.9,10,50.4412,-128.0324
5/31/1935,31.9,9.7,50.4412,-128.0324
6/1/1935,31.9,10,50.4412,-128.0324
6/2/1935,32,10,50.4412,-128.0324
6/3/1935,31.9,10,50.4412,-128.0324
6/4/1935,32,10.5,50.4412,-128.0324
6/5/1935,31.9,11.7,50.4412,-128.0324
6/6/1935,31.7,11.7,50.4412,-128.0324
6/7/1935,32,10.7,50.4412,-128.0324
6/8/1935,31.9,10.5,50.4412,-128.0324
6/9/1935,32.2,10.7,50.4412,-128.0324
6/10/1935,31.9,10.5,50.4412,-128.0324
6/11/1935,31.8,10.7,50.4412,-128.0324
6/12/1935,31.6,11.4,50.4412,-128.0324
6/13/1935,31.8,11.3,50.4412,-128.0324
6/14/1935,31.2,12.5,50.4412,-128.0324
6/15/1935,31.1,13.7,50.4412,-128.0324
6/16/1935,31.1,12,50.4412,-128.0324
6/17/1935,31.5,12.5,50.4412,-128.0324
6/18/1935,31.7,12.5,50.4412,-128.0324
6/19/1935,31.7,12,50.4412,-128.0324
6/20/1935,31.6,12,50.4412,-128.0324
6/21/1935,31.1,12,50.4412,-128.0324
6/22/1935,31.6,11.7,50.4412,-128.0324
6/23/1935,31.6,12,50.4412,-128.0324
6/24/1935,29.4,11.7,50.4412,-128.0324
6/25/1935,30.5,12,50.4412,-128.0324
6/26/1935,29.3,12.7,50.4412,-128.0324
6/27/1935,31.4,12.3,50.4412,-128.0324
6/28/1935,31.5,12,50.4412,-128.0324
6/29/1935,31.7,12,50.4412,-128.0324
6/30/1935,30.9,12.7,50.4412,-128.0324
7/1/1935,31.6,12,50.4412,-128.0324
7/2/1935,31.4,13.7,50.4412,-128.0324
7/3/1935,31.6,11.3,50.4412,-128.0324
7/4/1935,31.3,11.4,50.4412,-128.0324
7/5/1935,31.4,11,50.4412,-128.0324
7/6/1935,30.9,12,50.4412,-128.0324
7/7/1935,99.9,11.7,50.4412,-128.0324
7/8/1935,31.4,11.7,50.4412,-128.0324
7/9/1935,30.6,11.7,50.4412,-128.0324
7/10/1935,30.3,12.5,50.4412,-128.0324
7/11/1935,31.5,12.7,50.4412,-128.0324
7/12/1935,30.5,14,50.4412,-128.0324
7/13/1935,31.2,14.7,50.4412,-128.0324
7/14/1935,31.2,15.3,50.4412,-128.0324
7/15/1935,31.7,13.1,50.4412,-128.0324
7/16/1935,31.6,13.7,50.4412,-128.0324
7/17/1935,31.6,13.7,50.4412,-128.0324
7/18/1935,31.9,11.4,50.4412,-128.0324
7/19/1935,32.4,11.4,50.4412,-128.0324
7/20/1935,32.4,13.1,50.4412,-128.0324
