survey.year,value
2012,-1.9591666666666667
2013,-1.4941666666666666
2014,-0.6608333333333334
2015,0.9375
2016,1.0316666666666667
2017,0.1825
2018,-0.31916666666666665
2019,-0.30916666666666665
