Year,Date,Date_prev_year,Date_prev_year5,duration,intensity_cummulative,intensity_max,duration5,intensity_cummulative5,intensity_max5
2012,2012-07-03,2011-07-03,2007-07-03,0,0,0,0,0,0
2013,2013-05-23,2012-05-23,2008-05-23,0,0,0,0,0,0
2014,2014-06-12,2013-06-12,2009-06-12,11,21.276999599536914,2.589455905086834,11,21.276999599536914,2.589455905086834
2015,2015-06-14,2014-06-14,2010-06-14,128,188.0622593089186,2.3393646040354565,139,209.33925890845552,2.589455905086834
2016,2016-06-05,2015-06-05,2011-06-05,210,296.35020685474717,2.416875528014819,349,505.6894657632027,2.589455905086834
2017,2017-05-24,2016-05-24,2012-05-24,95,131.712576871761,2.4949440403797465,438,630.214411072794,2.589455905086834
2018,2018-06-12,2017-06-12,2013-06-12,33,38.27698390477978,2.0234499544621407,471,668.4913949775737,2.589455905086834
2019,2019-06-01,2018-06-01,2014-06-01,22,25.495994031372604,1.7645980121669003,482,672.7103894094093,2.4949440403797465
