Alaria.marginata,Anemone,Barnacles,Bossiella_articulate,Callithamnion.pikeanum,Ceramium.pacificum,Chamberlainium.tumidum,Cladophora.columbiana,Corallina,coralline.crust,Cryptosiphonia.woodii,Dilsea.californica,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.sessile,Hildenbrandia,Hymenena.spp.,Leathesia.marina,Lithothamnion.phymatodeum,Mastocarpus,Mazzaella.oregona,Mazzaella.parvula,Mazzaella.splendens,Microcladia.borealis,Mytilus.sp.,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.larix,Odonthalia.floccosa,Palmaria.hecatensis,Petrocelis,Phyllospadix.spp.,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Ptilota.filicina,Pyropia,Ralfsioid,Savoiea.robusta,Ulva
24,1,0,4,0,0,4,0,1,7,0,0,0,0,0,0,0,0,0,0,52,0,0,0,4,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0
0,0,1,0,1,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,33,0,0,0,24,0,0,0,0,43,0,1,1,0
11,0,0,6,3,0,6,0,2,7,0,0,0,0,0,0,0,1,0,10,49,11,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,21,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,18,2,0,0,0,8,0,0,0,36,1,0,0,0,55,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,96,0,0,0,0,9,0,0,0,0
0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,8,0,0,0,25,0,0,0,45,3,1,0,0,7,0,0,0,1
0,1,0,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,20,1,0,0,0,17,18,0,0,6,18,4,0,0,8,0,1,0,1
37,0,0,7,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,2,3,1,0,2,2,0,21,1,0,0,0,0,7,0,1,0,1,1,0,0,13,0,1,0,2
4,0,0,1,1,0,5,0,8,0,0,1,0,0,1,1,0,0,0,0,28,1,1,0,3,0,1,0,5,0,0,0,0,0,0,1,0,32,0,0,0,0,0,3,0,1
16,0,0,1,4,0,8,0,1,0,0,0,0,0,2,0,2,0,0,0,15,2,1,0,5,1,2,1,4,0,0,0,0,0,0,1,0,39,9,0,0,1,0,1,0,1
