Year,anom.pine,anom.pine.sum,anom.pine.win,anom.pine.sum.2,anom.pine.sum.1,anom.pine.win.1
2009,-0.497707551001866,-0.482856784045576,-0.825695373562041,NA,NA,NA
2010,0.215221162474564,-0.0338982085108643,0.451263151783581,NA,-0.482856784045576,-0.825695373562041
2011,-0.299115474562149,-0.452390834224787,-0.242400442686464,-0.482856784045576,-0.0338982085108643,0.451263151783581
2012,-0.393451840365423,-0.553578750251413,-0.554507810661463,-0.0338982085108643,-0.452390834224787,-0.242400442686464
2013,0.229073050339812,0.330153968642596,0.206026828966613,-0.452390834224787,-0.553578750251413,-0.554507810661463
2014,0.790383244146942,0.577935207055647,-0.307976945037161,-0.553578750251413,0.330153968642596,0.206026828966613
2015,1.69741650288501,1.39445248374756,2.4493220431087,0.330153968642596,0.577935207055647,-0.307976945037161
2016,1.59392156754621,1.57671673204407,1.61668240068448,0.577935207055647,1.39445248374756,2.4493220431087
2017,0.801460989221052,1.17061557394291,0.852990007400381,1.39445248374756,1.57671673204407,1.61668240068448
2018,0.993990672360913,1.20402862603243,0.475731993083542,1.57671673204407,1.17061557394291,0.852990007400381
2019,1.37989699326301,NA,1.27848870977536,1.17061557394291,1.20402862603243,0.475731993083542
