"","source","taxon","rank","hmsc","taxon_lumped2","non.alga.flag","kelp_fucoid_turf","littler_groups","new_cat","new_cat_simple1","new_cat_simple2","new_cat_simple3","funct_Sep2020","flag"
"39","all","Ceramium.pacificum",39,TRUE,"Ceramium pacificum","Algae","filament","filament","red turf","red turf","turf","turf","thin_turf",NA
"40","all","Lithophyllum",40,NA,"Lithophyllum","Algae",NA,NA,NA,NA,NA,NA,NA,NA
"41","all","Neopolyporolithon.reclinatum",40,TRUE,"Neopolyporolithon reclinatum","Algae","crustose coralline","crustose","crustose coralline","crustose coralline","crustose coralline","crustose coralline","crust",NA
"42","all","Neogastroclonium.subarticulatum",42,TRUE,"Neogastroclonium subarticulatum","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"43","all","Mazzaella.parvula",43,TRUE,"Mazzaella parvula","Algae","blade","thick leathery","red blade","blade","red blade","blade","turf",NA
"44","all","Prionitis",44,TRUE,"Prionitis","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"45","all","Farlowia.mollis",45,TRUE,"Farlowia mollis","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"46","all","Egregia.menziesii",46,TRUE,"Egregia menziesii","Algae","Kelp","thick leathery","Kelp","Kelp","Kelp","Kelp","large_brown",NA
"47","all","Dilsea.californica",47,TRUE,"Dilsea californica","Algae","blade","thick leathery","red blade","blade","red blade","blade","blade",NA
"48","all","Palmaria.hecatensis",48,TRUE,"Palmaria hecatensis","Algae","red turf","thick leathery","red turf","red turf","turf","turf","blade",NA
"49","all","Codium.fragile",49,NA,"Codium fragile","Algae","other","finely branching","Codium","Codium","Codium","Codium","turf",NA
"50","all","Nemalion.helminthoides",50,NA,"Nemalion helminthoides","Algae","red turf",NA,"red turf","red turf","turf","turf","turf",NA
"51","all","Tube.worms",50,NA,"Tube worms","Animal",NA,NA,NA,NA,NA,NA,NA,NA
"52","all","Analipus.japonicus",52,NA,"Analipus japonicus","Algae","brown turf","finely branching","brown turf","brown turf","turf","turf","turf",NA
"53","all","Tunicata/Porifera",53,NA,"Tunicata/Porifera","Animal",NA,NA,NA,NA,NA,NA,NA,NA
"54","all","Bossiella_crust",54,NA,"Bossiella_crust","Algae",NA,NA,NA,NA,NA,NA,NA,NA
"55","all","Bryozoan",54,NA,"Bryozoan","Animal",NA,NA,NA,NA,NA,NA,NA,NA
"56","all","Schizymenia.pacifica",54,NA,"Schizymenia pacifica","Algae","blade","thick leathery","red blade","blade","red blade","blade","blade",NA
"57","all","Scytosiphon.lomentaria",57,NA,"Scytosiphon lomentaria","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf",NA
"58","all","Codium.setchellii",58,NA,"Codium setchellii","Algae","other","crustose","Codium","Codium","Codium","Codium","crust","could be turf instead"
"59","all","Hedophyllum.nigripes",58,NA,"Hedophyllum nigripes","Algae","large_brown","thick leathery","large_brown","large_brown","large_brown","large_brown","large_brown",NA
"60","all","Costaria.costata",60,NA,"Costaria costata","Algae","Kelp","thick leathery","Kelp","Kelp","Kelp","Kelp","large_brown",NA
"61","all","Ectocarpus.commensalis",60,NA,"Ectocarpus commensalis","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"62","all","Osmundea.spectabilis",60,NA,"Osmundea spectabilis","Algae","red turf","thick leathery","red turf","red turf","turf","turf","turf",NA
"63","all","Peyssonnelia.sp.",63,NA,"Peyssonnelia sp.","Algae","crust","crustose","fleshy crust","fleshy crust","fleshy crust","fleshy crust","crust",NA
"64","all","Blidingia",64,NA,"Blidingia","Algae","green turf","sheet","green turf","green turf","turf","turf","turf",NA
"65","all","Crusticorallina.muricata",64,NA,"Crusticorallina muricata","Algae","crustose coralline","crustose","crustose coralline","crustose coralline","crustose coralline","crustose coralline","crust",NA
"66","all","Palmaria.mollis",64,NA,"Palmaria mollis","Algae","red turf","thick leathery","red turf","red turf","turf","turf","blade",NA
"67","all","Scytosiphon.dotyi",67,NA,"Scytosiphon dotyi","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf",NA
"68","all","Calliarthron.tuberculosum",68,NA,"Calliarthron tuberculosum","Algae","articulated coralline","jointed calcareous","articulated coralline","articulated coralline","articulated coralline","articulated coralline","turf",NA
"69","all","Colpomenia.bullosa",68,NA,"Colpomenia bullosa","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf",NA
"70","all","Tokidadendron.bullatum",70,NA,"Tokidadendron bullatum","Algae","red turf","sheet","red turf","red turf","turf","turf","turf",NA
"71","all","Unknown.crust",71,NA,"Unknown crust","Algae","crust","crustose","fleshy crust","fleshy crust","fleshy crust","fleshy crust","crust",NA
"72","all","Salishia.firma",72,NA,"Salishia firma","Algae","blade","thick leathery","red blade","blade","red blade","blade","blade",NA
"73","all","Ahnfeltia.fastigiata",73,NA,"Ahnfeltia fastigiata","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"74","all","Chiharaea.silvae",73,NA,"Chiharaea silvae","Algae","articulated coralline","jointed calcareous","articulated coralline","articulated coralline","articulated coralline","articulated coralline","turf",NA
"75","all","Cumathamnion.decipiens",73,NA,"Cumathamnion decipiens","Algae","red turf","sheet","red turf","red turf","turf","turf","turf",NA
"76","all","Lomentaria.hakodatensis",73,NA,"Lomentaria hakodatensis","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"77","all","Mazzaella.parksii",73,NA,"Mazzaella parksii","Algae","blade","thick leathery","red blade","blade","red blade","blade","turf",NA
"78","all","Melanosiphon.intestinalis",73,NA,"Melanosiphon intestinalis","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf",NA
"79","all","Pollicipes.polymerus",73,NA,"Pollicipes polymerus","Animal",NA,NA,NA,NA,NA,NA,NA,NA
"80","all","Colpomenia.peregrina",80,NA,"Colpomenia peregrina","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf",NA
"81","all","Desmarestia.ligulata",80,NA,"Desmarestia ligulata","Algae","Desmarestiales","thick leathery","Desmarestia","Desmarestia","Desmarestia","Desmarestia","large_brown","Ah shit; calling this kelp because it is functionally similar to a kelp"
"82","all","Laminaria.setchellii",80,NA,"Laminaria setchellii","Algae","large_brown","thick leathery","Kelp","Kelp","Kelp","Kelp","large_brown",NA
"83","all","Chiharaea.rhododactyla",83,NA,"Chiharaea rhododactyla","Algae","articulated coralline","jointed calcareous","articulated coralline","articulated coralline","articulated coralline","articulated coralline","turf",NA
"84","all","Antithamnionella.pacifica",84,NA,"Antithamnionella pacifica","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"85","all","Melobesia.sp.",84,NA,"Melobesia sp.","Algae","crustose coralline","crustose","crustose coralline","crustose coralline","crustose coralline","crustose coralline","crust",NA
"86","all","Smithora.naiadum",84,NA,"Smithora naiadum","Algae","red turf","sheet","red turf","red turf","turf","turf","blade","Could also be turf"
"87","all","Antithamnion.defectum",87,NA,"Antithamnion defectum","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"88","all","Johansenia.macmillanii",87,NA,"Johansenia macmillanii","Algae","articulated coralline","jointed calcareous","articulated coralline","articulated coralline","articulated coralline","articulated coralline","turf",NA
"89","all","Erythrotrichia.carnea",89,NA,"Erythrotrichia carnea","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"90","all","Nereocystis.luetkeana",89,NA,"Nereocystis luetkeana","Algae","Kelp","thick leathery","Kelp","Kelp","Kelp","Kelp","large_brown",NA
"91","all","Pylaiella.littoralis",89,NA,"Pylaiella littoralis","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"92","all","Collinsiella.tuberculata",92,NA,"Collinsiella tuberculata","Algae","green turf","sheet","green turf","green turf","turf","turf","turf",NA
"93","all","Hydroid",92,NA,"Hydroid","Animal",NA,NA,NA,NA,NA,NA,NA,NA
"94","all","Neorhodomela.oregona",92,NA,"Neorhodomela oregona","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
