"","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"1",1,35,36,38,4,1978-02-04,1978-02-05,1978-02-07,6.8637,9.3161,1.72,27.4547,2.9744,5.4258,1.7174,11.8978,14.15,16.6,1.7176,56.6,3.4956,2.0462
"2",2,50,50,52,3,1978-02-19,1978-02-19,1978-02-21,4.2105,4.609,0.3701,12.6315,0.6131,0.9829,0.3517,1.8393,11.8333,12.2,0.3512,35.5,1.0688,0.8125
"3",3,65,65,65,1,1978-03-06,1978-03-06,1978-03-06,3.704,3.704,NA,3.704,0.4019,0.4019,NA,0.4019,12,12,NA,12,0.9416,2.0609
"4",4,94,94,94,1,1978-04-04,1978-04-04,1978-04-04,3.3655,3.3655,NA,3.3655,0.2613,0.2613,NA,0.2613,13.5,13.5,NA,13.5,1.9238,1.579
"5",5,139,139,139,1,1978-05-19,1978-05-19,1978-05-19,6.2352,6.2352,NA,6.2352,3.1032,3.1032,NA,3.1032,20.5,20.5,NA,20.5,5.9093,6.5904
"6",6,151,153,158,8,1978-05-31,1978-06-02,1978-06-07,5.5479,7.704,1.5411,44.3828,2.7074,4.8584,1.5402,21.6591,20.9375,23,1.4501,167.5,1.7348,1.109
"7",7,171,171,173,3,1978-06-20,1978-06-20,1978-06-22,1.8196,3.7053,2.7583,5.4589,-0.9823,0.8994,2.7586,-2.947,18.1667,20,2.7538,54.5,2.9505,0.6532
"8",8,201,201,201,1,1978-07-20,1978-07-20,1978-07-20,2.8003,2.8003,NA,2.8003,0.0858,0.0858,NA,0.0858,21,21,NA,21,0.4436,2.5562
"9",9,219,219,219,1,1978-08-07,1978-08-07,1978-08-07,2.932,2.932,NA,2.932,0.1016,0.1016,NA,0.1016,21.5,21.5,NA,21.5,5.5232,0.4753
"10",10,269,269,269,1,1978-09-26,1978-09-26,1978-09-26,6.6964,6.6964,NA,6.6964,4.0429,4.0429,NA,4.0429,21.5,21.5,NA,21.5,6.1222,4.8767
"11",11,281,281,281,1,1978-10-08,1978-10-08,1978-10-08,2.6924,2.6924,NA,2.6924,0.0216,0.0216,NA,0.0216,16,16,NA,16,0.1253,2.8754
"12",12,291,291,291,1,1978-10-18,1978-10-18,1978-10-18,3.0108,3.0108,NA,3.0108,0.2774,0.2774,NA,0.2774,15,15,NA,15,1.1329,2.3705
"13",13,305,305,305,1,1978-11-01,1978-11-01,1978-11-01,5.2038,5.2038,NA,5.2038,2.3403,2.3403,NA,2.3403,15.5,15.5,NA,15.5,2.6168,4.3822
"14",14,427,430,430,4,1979-03-03,1979-03-06,1979-03-06,4.7905,6.704,1.4074,19.1619,1.4624,3.4019,1.4283,5.8496,13,15,1.472,52,1.4434,7.0609
"15",15,445,445,446,2,1979-03-21,1979-03-21,1979-03-22,4.7939,4.8259,0.0453,9.5878,1.5816,1.6058,0.0342,3.1632,14,14,0,28,4.4388,1.0644
"16",16,477,482,482,6,1979-04-22,1979-04-27,1979-04-27,3.1782,5.2748,2.4538,19.069,-0.3138,1.801,2.4657,-1.8827,15.1667,17.5,2.4014,91,0.4064,3.5959
"17",17,562,565,565,4,1979-07-16,1979-07-19,1979-07-19,3.193,4.3567,0.8239,12.7718,0.4809,1.6474,0.827,1.9235,21.25,22.5,0.866,85,0.4428,6.0564
"18",18,597,598,598,2,1979-08-20,1979-08-21,1979-08-21,5.248,7.5302,3.2275,10.496,2.4236,4.7058,3.2276,4.8471,23.25,25.5,3.182,46.5,3.8963,7.9314
"19",19,608,608,609,2,1979-08-31,1979-08-31,1979-09-01,4.0781,4.2878,0.2966,8.1561,1.3907,1.5923,0.2852,2.7813,21.25,21.5,0.3536,42.5,4.0805,1.7536
"20",20,614,614,614,1,1979-09-06,1979-09-06,1979-09-06,2.7739,2.7739,NA,2.7739,0.1152,0.1152,NA,0.1152,19.5,19.5,NA,19.5,4.0824,4.9177
"21",21,621,622,622,2,1979-09-13,1979-09-14,1979-09-14,4.6589,4.9539,0.4172,9.3178,2.0358,2.3342,0.422,4.0716,20.75,21,0.3536,41.5,1.0899,4.9106
"22",22,641,641,641,1,1979-10-03,1979-10-03,1979-10-03,3.5818,3.5818,NA,3.5818,0.9316,0.9316,NA,0.9316,17.5,17.5,NA,17.5,4.1258,2.3759
"23",23,647,648,648,2,1979-10-09,1979-10-10,1979-10-10,5.1307,6.9445,2.565,10.2615,2.437,4.2435,2.5547,4.8741,18.25,20,2.4749,36.5,3.4599,4.3706
"24",24,659,659,659,1,1979-10-21,1979-10-21,1979-10-21,2.8923,2.8923,NA,2.8923,0.1968,0.1968,NA,0.1968,14.5,14.5,NA,14.5,3.1253,2.3755
"25",25,663,663,663,1,1979-10-25,1979-10-25,1979-10-25,3.8874,3.8874,NA,3.8874,1.1645,1.1645,NA,1.1645,15,15,NA,15,3.1234,2.8813
"26",26,683,683,683,1,1979-11-14,1979-11-14,1979-11-14,6.7572,6.7572,NA,6.7572,3.5877,3.5877,NA,3.5877,15.5,15.5,NA,15.5,7.6114,4.3918
"27",27,689,690,690,2,1979-11-20,1979-11-21,1979-11-21,7.9132,7.9607,0.0671,15.8265,4.5477,4.58,0.0456,9.0955,16,16,0,32,1.5958,7.9108
"28",28,698,698,698,1,1979-11-29,1979-11-29,1979-11-29,3.5559,3.5559,NA,3.5559,0.0639,0.0639,NA,0.0639,11,11,NA,11,4.0618,2.4395
"29",29,717,718,719,3,1979-12-18,1979-12-19,1979-12-20,5.4878,5.8225,0.557,16.4635,1.6626,1.9939,0.5738,4.9878,12.1667,12.5,0.5774,36.5,1.0273,2.1455
"30",30,725,727,727,3,1979-12-26,1979-12-28,1979-12-28,6.938,7.9444,1.7383,20.8141,2.9968,4.0016,1.7279,8.9903,13.5,14.5,1.7321,40.5,1.6077,8.9993
"31",31,762,762,762,1,1980-02-01,1980-02-01,1980-02-01,5.2447,5.2447,NA,5.2447,1.3513,1.3513,NA,1.3513,12.5,12.5,NA,12.5,4.9874,2.5101
"32",32,786,786,787,2,1980-02-25,1980-02-25,1980-02-26,6.683,7.2028,0.7351,13.366,3.2003,3.7084,0.7185,6.4007,14.5,15,0.7071,29,3.9634,2.2073
"33",33,824,824,824,1,1980-04-03,1980-04-03,1980-04-03,6.4417,6.4417,NA,6.4417,3.3419,3.3419,NA,3.3419,16.5,16.5,NA,16.5,3.4248,4.0762
"34",34,855,855,855,1,1980-05-04,1980-05-04,1980-05-04,5.6091,5.6091,NA,5.6091,2.0606,2.0606,NA,2.0606,18.5,18.5,NA,18.5,6.4043,5.5958
"35",35,906,907,907,2,1980-06-24,1980-06-25,1980-06-25,4.2047,4.423,0.3087,8.4095,1.4236,1.6413,0.3079,2.8471,20.75,21,0.3536,41.5,0.7715,4.5696
"36",36,933,933,933,1,1980-07-21,1980-07-21,1980-07-21,3.2441,3.2441,NA,3.2441,0.5242,0.5242,NA,0.5242,21.5,21.5,NA,21.5,5.9438,4.0552
"37",37,953,953,953,1,1980-08-10,1980-08-10,1980-08-10,3.013,3.013,NA,3.013,0.1987,0.1987,NA,0.1987,21.5,21.5,NA,21.5,3.0298,0.4682
"38",38,988,988,988,1,1980-09-14,1980-09-14,1980-09-14,2.9539,2.9539,NA,2.9539,0.3342,0.3342,NA,0.3342,19,19,NA,19,2.09,3.4106
"39",39,1005,1009,1010,6,1980-10-01,1980-10-05,1980-10-06,3.6408,5.8263,1.8033,21.845,0.9912,3.1829,1.8066,5.947,17.5,19.5,1.7029,105,1.0689,2.5468
"40",40,1027,1027,1027,1,1980-10-23,1980-10-23,1980-10-23,5.6394,5.6394,NA,5.6394,2.9387,2.9387,NA,2.9387,17,17,NA,17,5.6226,3.8754
"41",41,1034,1039,1040,7,1980-10-30,1980-11-04,1980-11-05,4.8253,7.5631,2.4462,33.7771,1.9419,4.6306,2.4365,13.5935,15,17.5,2.3979,105,0.9816,2.2082
"42",42,1050,1050,1050,1,1980-11-15,1980-11-15,1980-11-15,3.8654,3.8654,NA,3.8654,0.6684,0.6684,NA,0.6684,12.5,12.5,NA,12.5,4.6082,2.3956
"43",43,1061,1061,1062,2,1980-11-26,1980-11-26,1980-11-27,4.1463,4.3627,0.306,8.2927,0.6848,0.9026,0.3079,1.3697,11.75,12,0.3536,23.5,5.0728,2.1004
"44",44,1079,1080,1080,2,1980-12-14,1980-12-15,1980-12-15,4.6914,4.7064,0.0212,9.3828,0.9863,0.9939,0.0107,1.9726,11.5,11.5,0,23,0.3632,1.9705
"45",45,1090,1091,1091,2,1980-12-25,1980-12-26,1980-12-26,4.4252,4.4308,0.0079,8.8504,0.5008,0.5016,0.0011,1.0016,11,11,0,22,0.8446,1.9919
"46",46,1101,1116,1117,17,1981-01-05,1981-01-20,1981-01-21,5.5463,10.9935,2.8935,94.2863,1.6109,7.0806,2.911,27.3854,12.3529,18,2.9779,210,0.4909,3.1944
"47",47,1140,1140,1140,1,1981-02-13,1981-02-13,1981-02-13,5.0881,5.0881,NA,5.0881,1.309,1.309,NA,1.309,12.5,12.5,NA,12.5,1.4738,4.5288
"48",48,1156,1156,1156,1,1981-03-01,1981-03-01,1981-03-01,3.4776,3.4776,NA,3.4776,0.0794,0.0794,NA,0.0794,11.5,11.5,NA,11.5,3.9036,4.0491
"49",49,1164,1164,1167,4,1981-03-09,1981-03-09,1981-03-12,3.8083,5.0206,1.3568,15.2331,0.5482,1.7494,1.3496,2.1927,12.375,13.5,1.315,49.5,1.9388,0.9866
