"","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"1",1,1513,1514,1517,5,1958-02-21,1958-02-22,1958-02-25,1.4504,1.8764,0.2825,7.2519,0.4402,0.8589,0.2756,2.2008,8.18,8.6,0.2775,40.9,0.4292,0.3421
"2",2,1614,1618,1622,9,1958-06-02,1958-06-06,1958-06-10,1.9249,3.1893,0.6246,17.324,0.6593,1.9226,0.6285,5.934,12.9333,14.2,0.7194,116.4,0.4246,0.4168
"3",3,1688,1689,1693,6,1958-08-15,1958-08-16,1958-08-20,1.6641,2.1298,0.2871,9.9846,0.3422,0.8081,0.287,2.0534,15.1333,15.6,0.2875,90.8,0.5636,0.1984
"4",4,2014,2014,2018,5,1959-07-07,1959-07-07,1959-07-11,2.5618,2.8161,0.3983,12.8091,1.2348,1.5032,0.4057,6.1742,15.32,15.6,0.3633,76.6,1.8595,0.2696
"5",5,3287,3294,3295,9,1962-12-31,1963-01-07,1963-01-08,1.6343,1.8737,0.2077,14.709,0.5009,0.7387,0.2068,4.5081,8.6111,8.8,0.2088,77.5,0.0974,0.6505
"6",6,3538,3541,3542,5,1963-09-08,1963-09-11,1963-09-12,1.9801,2.3185,0.2645,9.9004,0.6352,0.9742,0.2654,3.1759,15,15.3,0.255,75,0.3522,0.6566
"7",7,3554,3558,3567,14,1963-09-24,1963-09-28,1963-10-07,1.5236,2.0947,0.2374,21.3302,0.3072,0.85,0.231,4.3015,13.35,14.1,0.4202,186.9,0.1783,0.0921
"8",8,3571,3582,3585,15,1963-10-11,1963-10-22,1963-10-25,1.3804,2.1303,0.317,20.7065,0.3083,1.0742,0.3242,4.6242,11.9467,12.4,0.3815,179.2,0.091,0.2965
"9",9,3616,3620,3622,7,1963-11-25,1963-11-29,1963-12-01,1.6884,1.9437,0.2486,11.8186,0.4793,0.7387,0.2443,3.3548,9.6857,10,0.2911,67.8,0.1189,0.3616
"10",10,3650,3657,3661,12,1963-12-29,1964-01-05,1964-01-09,1.3968,1.9415,0.6607,16.7613,0.2647,0.8065,0.6612,3.1759,8.3833,8.9,0.6699,100.6,0.1052,0.1395
"11",11,4985,4988,5001,17,1967-08-25,1967-08-28,1967-09-10,1.8543,2.7185,0.4725,31.5236,0.5104,1.3806,0.4743,8.6775,15.1118,16.1,0.4986,256.9,0.4709,0.0904
"12",12,5059,5059,5063,5,1967-11-07,1967-11-07,1967-11-11,1.355,1.667,0.1864,6.7751,0.1781,0.5129,0.1958,0.8904,10.36,10.8,0.251,51.8,1.2655,0.0921
"13",13,5086,5086,5092,7,1967-12-04,1967-12-04,1967-12-10,1.3383,1.5329,0.135,9.3679,0.1882,0.3726,0.1348,1.3177,9,9.3,0.1633,63,1.5329,0.0582
"14",14,5278,5280,5282,5,1968-06-13,1968-06-15,1968-06-17,2.1289,2.349,0.2328,10.6444,0.8813,1.1032,0.2334,4.4064,13.68,13.9,0.2683,68.4,0.3613,0.2587
"15",15,5639,5644,5647,9,1969-06-09,1969-06-14,1969-06-17,1.7889,2.4074,0.4169,16.0999,0.5419,1.1645,0.4207,4.8774,13.2222,13.9,0.4265,119,0.2316,0.3586
"16",16,6426,6427,6431,6,1971-08-05,1971-08-06,1971-08-10,2.2039,2.5999,0.493,13.2232,0.8694,1.2613,0.4961,5.2162,15.6167,16,0.4997,93.7,1.1906,0.2087
"17",17,7566,7569,7570,5,1974-09-18,1974-09-21,1974-09-22,2.1169,2.6355,0.3105,10.5846,0.7997,1.3242,0.3164,3.9984,14.64,15.1,0.2702,73.2,0.3008,0.638
"18",18,8634,8638,8639,6,1977-08-21,1977-08-25,1977-08-26,1.8285,2.0762,0.2023,10.9711,0.4973,0.7419,0.203,2.9839,15.2667,15.5,0.2066,91.6,0.1421,0.4203
"19",19,9363,9367,9367,5,1979-08-20,1979-08-24,1979-08-24,1.8481,1.8648,0.0122,9.2405,0.52,0.5323,0.0092,2.6001,15.3,15.3,0,76.5,0.2106,0.5886
"20",20,9374,9376,9378,5,1979-08-31,1979-09-02,1979-09-04,1.4833,1.6214,0.09,7.4166,0.1365,0.2742,0.0913,0.6823,14.76,14.9,0.114,73.8,0.2425,0.1326
"21",21,9387,9415,9420,34,1979-09-13,1979-10-11,1979-10-16,1.6009,1.9198,0.2061,54.4293,0.3807,0.8177,0.2428,12.945,13.4706,14.6,0.6654,458,0.0206,0.1726
"22",22,9427,9427,9434,8,1979-10-23,1979-10-23,1979-10-30,1.4278,1.6053,0.1255,11.4223,0.3548,0.5452,0.1238,2.8387,11.3625,11.8,0.1923,90.9,0.575,0.0664
"23",23,9880,9881,9886,7,1981-01-18,1981-01-19,1981-01-24,1.4697,2.0277,0.2715,10.2877,0.3399,0.8919,0.2672,2.379,8.2286,8.8,0.2812,57.6,0.5755,0.1662
"24",24,9912,9912,9916,5,1981-02-19,1981-02-19,1981-02-23,1.4001,1.4875,0.1839,7.0003,0.3756,0.4589,0.1753,1.8782,8.12,8.2,0.1789,40.6,1.4875,0.1043
"25",25,9930,9941,9956,27,1981-03-09,1981-03-20,1981-04-04,1.2853,1.7072,0.1584,34.702,0.2545,0.6742,0.1606,6.8725,8.4481,8.8,0.2424,228.1,0.0586,0.0485
"26",26,10168,10171,10172,5,1981-11-02,1981-11-05,1981-11-06,1.4077,1.6352,0.1811,7.0386,0.2871,0.5065,0.1726,1.4355,10.74,10.9,0.1342,53.7,0.1821,0.334
"27",27,10186,10188,10190,5,1981-11-20,1981-11-22,1981-11-24,1.7016,1.8434,0.12,8.5082,0.4697,0.6097,0.119,2.3485,9.96,10.1,0.114,49.8,0.2308,0.1738
