1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: BA0000002BBFE721,,
Is Mission Active?  true,,
Mission Start:  Tue Jul 03 12:17:00 PDT 2012,,
Sample Rate:  Every 240 minute(s),,
Number of Mission Samples:  1935,,
Total Samples:  1935,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 °C,,
Low Temperature Alarm:  -40 °C,,
,,
Date/Time,Unit,Value
03/07/2012 12:17,C,14
03/07/2012 16:17,C,14.5
03/07/2012 20:17,C,14
04/07/2012 0:17,C,13
04/07/2012 4:17,C,12.5
04/07/2012 8:17,C,13
04/07/2012 12:17,C,14
04/07/2012 16:17,C,14
04/07/2012 20:17,C,14
05/07/2012 0:17,C,13.5
05/07/2012 4:17,C,13
05/07/2012 8:17,C,20
05/07/2012 12:17,C,30
05/07/2012 16:17,C,14.5
05/07/2012 20:17,C,15
06/07/2012 0:17,C,14
06/07/2012 4:17,C,14
06/07/2012 8:17,C,21
06/07/2012 12:17,C,21
06/07/2012 16:17,C,16
06/07/2012 20:17,C,15.5
07/07/2012 0:17,C,13
07/07/2012 4:17,C,13.5
07/07/2012 8:17,C,16.5
07/07/2012 12:17,C,21
07/07/2012 16:17,C,15.5
07/07/2012 20:17,C,14.5
08/07/2012 0:17,C,13.5
08/07/2012 4:17,C,14
08/07/2012 8:17,C,18.5
08/07/2012 12:17,C,28
08/07/2012 16:17,C,17.5
08/07/2012 20:17,C,17
09/07/2012 0:17,C,14.5
09/07/2012 4:17,C,14.5
09/07/2012 8:17,C,14.5
09/07/2012 12:17,C,17
09/07/2012 16:17,C,18
09/07/2012 20:17,C,15
10/07/2012 0:17,C,14
10/07/2012 4:17,C,13.5
10/07/2012 8:17,C,14
10/07/2012 12:17,C,21.5
10/07/2012 16:17,C,18.5
10/07/2012 20:17,C,17
11/07/2012 0:17,C,14.5
11/07/2012 4:17,C,13
11/07/2012 8:17,C,14.5
11/07/2012 12:17,C,30.5
11/07/2012 16:17,C,23
11/07/2012 20:17,C,17.5
12/07/2012 0:17,C,14.5
12/07/2012 4:17,C,13.5
12/07/2012 8:17,C,14
12/07/2012 12:17,C,30.5
12/07/2012 16:17,C,25
12/07/2012 20:17,C,17.5
13/07/2012 0:17,C,14
13/07/2012 4:17,C,13
13/07/2012 8:17,C,22
13/07/2012 12:17,C,26
13/07/2012 16:17,C,24
13/07/2012 20:17,C,15.5
14/07/2012 0:17,C,15
14/07/2012 4:17,C,14
14/07/2012 8:17,C,22.5
14/07/2012 12:17,C,16.5
14/07/2012 16:17,C,24
14/07/2012 20:17,C,15.5
15/07/2012 0:17,C,14
15/07/2012 4:17,C,14
15/07/2012 8:17,C,14.5
15/07/2012 12:17,C,14
