taxon
Acmaea mitra
Acrochaetium sp.
Acrosiphonia arcta
Acrosiphonia coalita
Acrosiphonia sp.
Acrosiphonia spp.
Ahnfeltia fastigiata
Alaria marginata
Amphipoda
Amphiporus
Amphissa sp.
Analipus japonicus
Anemone
Anthopleura elegantissima
Anthopleura sp.
Anthopleura xanthogrammica
Antithamnion defectum
Antithamnionella pacifica
articulated coralline
Balanus glandula
Balanus sp.
Bangia sp.
bare rock
Barnacle
Bittium
Black spots on Fucus
Blidingia dawsonii
Blidingia minima
Blidingia sp.
Bossiella californica
Bossiella dichotoma
Bossiella exarticulata
Bossiella flexulosa
Bossiella frondescens
Bossiella frondifera
Bossiella hakaiensis
Bossiella manzae
Bossiella mayae
Bossiella plumosa
Bossiella pseudodichotoma
Bossiella reptans
Bossiella sp.
Bossiella sp. (crust)
Bossiella sp.2 chiloensis
Bossiella sp.4 chiloensis
Bossiella sp.5 chiloensis
Brittle star
Brown crust
Bryozoan
Calliarthron tuberculosum
Calliostoma
Callithamnion biseriatum
Callithamnion pikeanum
Callophyllis sp.
Ceramium codicola
Ceramium pacificum
Ceratostoma
Chaetomorpha cannabina
Chamberlainium tumidum
Chiharaea bodegensis
Chiharaea rhododactyla
Chiharaea silvae
Chiton
Chlorostoma sp.
Chthamalus dalli
Cladophora columbiana
Cladophora sericea
Cladophora stimpsonii
Clam
Clam hole
Clam shell
Codium fragile
Codium setchellii
Collinsiella tuberculata
Colonial Diatoms
Colpomenia bullosa
Colpomenia peregrina
Constantinea subulifera
Corallina arbuscula
Corallina frondescens
Corallina officinalis
Corallina sp.
Corallina sp.1 frondescens
Corallina sp.2 frondescens
Corallina vancouveriensis
coralline crust
Costaria costata
Cottoidea
Crab
Crusticorallina muricata
Cryptochiton
Cryptosiphonia woodii
Cucumaria miniata
Cumathamnion decipiens
Dactylosiphon bullosus
Dermasterias
Desmarestia aculeata
Desmarestia herbacea
Desmarestia ligulata
Dictyosiphon foeniculaceus
Dictyosiphon sinicola
Dilsea californica
Ectocarpus commensalis
Ectocarpus siliculosus
Ectocarpus sp.
Egregia menziesii
Elachista fucicola
Endocladia muricata
Erythrotrichia carnea
Eugomontia sacculata
Farlowia mollis
Fauchea sp.
Feather duster worm
Feldmannia irregularis
Fish
Flustralidra
Frederikia sp.
Fucus distichus
Gammaridae
Gelidium sp.
Gloiopeltis furcata
Gobiesox
Gracilaria pacifica
Halichondria
Halichondria panicea
Haliclona
Halosaccion glandiforme
Haplogaster sp.
Hedophyllum nigripes
Hedophyllum sessile
Hemigrapsis sp.
Henricia
Herposiphonia plumula
Hildenbrandia occidentalis
Hildenbrandia rubra
Hildenbrandia sp.
Hollenbergia subulata
Hydroid
Hymenena setchellii
Hymenena sp.
Isopoda
Jingle
Johansenia macmillanii
Katharina tunicata
Kornmannia leptoderma
Lacuna sp.
Laminaria setchellii
Laminaria yezoensis
Leathesia marina
Leptasterias sp.
Leptofauchea sp.
Ligia sp.
Limpet
Lithophyllum impressum
Lithophyllum sp.
Lithophyllum sp. 1
Lithophyllum sp. 2
Lithophyllum sp. 8
Lithothamnion glaciale
Lithothamnion phymatodeum
Littorina scutulata
Littorina sp.
Lomentaria hakodatensis
Lophopanopeus bellus
Lottia sp.
Macrocystis pyrifera
Mastocarpus agardhii
Mastocarpus alaskensis
Mastocarpus intermedius
Mastocarpus jardinii
Mastocarpus latissimus
Mastocarpus pachenicus
Mastocarpus rigidus
Mastocarpus sp
Mazzaella oregona
Mazzaella parksii
Mazzaella parvula
Mazzaella rigidus
Mazzaella splendens
Melanosiphon intestinalis
Melobesia sp.
Mesocentrotus franciscanus
Mesophyllum vancouveriense
Microcladia borealis
Monostroma grevillei
Mopalia sp.
Mysid
Mytilus sp.
Mytilus trossulus
Nemalion helminthoides
Nemertea
Neoagarum fimbriatum
Neodilsea borealis
Neogastroclonium subarticulatum
Neopolyporolithon reclinatum
Neorhodomela aculeata
Neorhodomela larix
Neorhodomela oregona
Nereid
Nereocystis luetkeana
Nucella eggs
Nucella lamellosa
Nucella sp.
Nudipleura
Odonthalia floccosa
Odonthalia floccosa f. comosa
Onchidella borealis
Onchidella sp.
Opuntiella californica
Osmundea spectabilis
Pagarus sp.
Palmaria hecatensis
Palmaria mollis
Pentidotea sp.
Petalonia fascia
Petrocelis
Peyssonnelia sp.
Pholidae
Phycodrys sp.
Phyllospadix scouleri
Phyllospadix serrulatus
Phyllospadix sp.
Phyllospadix torreyi
Pisaster ochraceus
Pleonosporium vancouverianum
Plocamium pacificum
Plocamium violaceum
Pododesmus sp.
Pollicipes polymerus
Polychaete
Polyneura latissima
Polysiphonia brodiei
Polysiphonia hendryi
Polysiphonia hendryi var. gardneri
Polysiphonia hendryi var. hendryi
Polysiphonia hendryi var. luxuriens
Polysiphonia pacifica
Polysiphonia pacifica var delicatula
Polysiphonia paniculata
Polysiphonia sp.
Porifera
Prionitis sp.
Prionitis sternbergii
Pseudolithophyllum muricatum
Pterocladiella caloglossoides
Pterosiphonia gracilis
Pterygophora californica
Ptilota filicina
Ptilota sp.
Ptilota tenuis
Pugetia firma
Pugettia producta
Pugettia sp.
Punctaria sp.
Pycnopodia helianthoides
Pylaiella littoralis
Pyropia abbottiae
Pyropia fallax
Pyropia fucicola
Pyropia gardneri
Pyropia perforata
Pyropia schizophylla
Pyropia smithii
Pyropia sp.
Ralfsioid
Rhizoclonium tortuosum
Rhodochorton purpureum
Rhodymenia sp.
Riterella pulchra
