survey.year,temp_pine,temp_mccinnis,temp_addenbroke,sal_pine,sal_mccinnis,pca1,pca2,pca3,pca4,month,year
2010,8.858647077560121,9.776851343101344,7.068146831634189,31.30421006529702,29.679032356532357,-0.21671272654770846,-0.5099199790885457,-0.15226075797719144,-0.2915249996645883,6.527717391304348,2009.4138888888888
2011,8.775002215947513,9.304252397043093,6.261309049521193,31.281967823397796,29.662371676557726,-0.4882994386517634,-0.3783687961708508,-0.07513904321085595,-0.18234392880541556,6.527717391304348,2010.4138888888888
2012,8.500498686096511,9.09402432575357,6.240365172267346,31.20994386048734,29.209342499559316,-0.6648225114918768,-0.26913507030652045,-0.20782944492960492,-0.35087805814820955,6.519200907787864,2011.414835164835
2013,8.708243583331114,8.580235893441085,6.694472960072007,31.498298696096974,28.915891107308806,-0.5038791981302109,-1.100571349311222,0.18888955741260063,-0.2811345394741929,6.527717391304348,2012.4138888888888
2014,9.147227031029548,9.308347130834012,7.062142331183028,31.748421023421024,30.005163010818876,0.17140815669206447,-0.20896060823089094,0.6592776654860248,-0.1351357917191182,6.527717391304348,2013.4138888888888
2015,10.524810696214805,10.324479127957389,8.079389893068447,31.37145601483837,28.84692396170657,0.8568543295889346,-1.0521360004055644,-0.16674902769200206,0.3305019619431801,6.527717391304348,2014.4138888888888
2016,10.506228322239558,10.071824246189959,7.98940113276695,31.560664028942053,29.28504965039074,1.101128705111601,-0.4189299194901767,0.007220606783120756,0.4742114204423784,6.519200907787864,2015.414835164835
2017,10.199900793650794,10.33396281254977,6.825055070477617,32.04953373015873,30.718913432683586,0.6903357869922242,0.2191071742401013,0.6497551752569887,0.3226714115442402,6.527717391304348,2016.4138888888888
2018,9.48517912248896,10.325042137813877,6.819103794882021,31.57261670034946,30.753693727769814,0.36015362256737304,0.30988105323481135,0.17151216036730457,0.11574048433639071,6.527717391304348,2017.4138888888888
2019,10.192954189785176,10.342391415577286,6.782963956333521,31.08073320413437,31.105295693279974,0.504694816326935,0.4741398371303196,-0.20669211777789326,0.26916099976751673,6.527717391304348,2018.4138888888888
2020,12.25,12.741176470588234,10.972222222222221,31,31.69705882352941,1.9215649067336258,0.9727272756432653,-0.28790365058401574,0.08671122434029306,6.117647058823529,2019
