Year,Month,Temperature,avgTemperature,Anomaly,An.col,Date,sample.date,name,Temp.year,avgTemp.year,Anomaly.year
2011,8,9.84516129,10.57811135,-0.732950061,blue,8/1/2011,8/13/2011,8/13/2011,8.695045443,9.19747463,-0.502429187
2012,7,9.233333333,10.47113771,-1.237804382,blue,7/1/2012,7/4/2012,7/4/2012,8.466176307,9.19747463,-0.731298323
2013,5,9.153846154,9.324604468,-0.170758315,blue,5/1/2013,5/24/2013,5/24/2013,8.817798814,9.197208781,-0.469799225
2014,6,9.844827586,9.976312889,-0.131485303,blue,6/1/2014,6/13/2014,6/13/2014,9.119024494,9.19747463,-0.078450136
2015,5,10.5625,9.324604468,1.237895532,red,5/1/2015,5/15/2015,5/15/2015,10.61437088,9.197887445,1.180519328
2016,6,11.37307692,9.976312889,1.396764034,red,6/1/2016,6/6/2016,6/6/2016,10.61549202,9.19747463,1.418017393
2017,5,10.1,9.324604468,0.775395532,red,5/1/2017,5/24/2017,5/24/2017,10.17074565,9.19747463,0.973271023
2018,6,10.95416667,9.976312889,0.977853778,red,6/1/2018,6/13/2018,6/13/2018,9.464673965,9.19747463,0.267199335
