"Year","Anomaly","summer.anomaly","winter.anomaly"
1985,-1.29667939997278,-0.598744759781893,-0.661413703806106
1986,-0.0983172647961279,-0.48376268092885,0.291927310018777
1987,0.26088140391867,-0.439640817129567,1.07664313183137
1988,-0.318222891859708,-0.869999240068634,-0.127085879239129
1989,-0.356145605809953,-0.220931139710212,-1.8987408927462
1990,-0.415198345185273,0.804946996490505,-1.1166364380611
1991,-0.22660387513919,-0.690142609244262,-0.64828006325311
1992,0.01640478086307,-0.134264473043546,1.36909506254804
1993,-0.243697449127925,-0.536630064441394,-0.584647190749273
1994,-0.625389717433097,-0.426450852971861,-0.449086514866015
1995,-0.0261571265472799,-0.335196372685123,-0.305346115480455
1996,-0.810601850502223,-0.899497447953939,-1.17028202310268
1997,0.650117727853159,0.472688931974375,-0.0839666858299935
1998,0.510741874988818,0.188997175701975,1.2962283852876
1999,-0.624183880259518,-0.982364831466484,-0.239101875849119
2000,-0.0671284659543816,0.146954164949287,-0.234464448019255
2001,-0.328897031556373,-0.729174867308778,0.292022036081244
2002,-0.032515293469963,0.0510760287485697,-0.928879141594125
2003,0.169767732643708,0.253549147028139,0.867887371462709
2004,1.33336158471921,2.14921222946541,0.750148084424198
2005,0.941278229315495,0.964839469608785,0.880022548114016
2006,0.0845577992079682,0.275126207960039,0.105291365318316
2007,-0.213332691990365,0.226954164949286,-0.237604179996584
2008,-0.903231852433185,-1.24523221497903,-0.636058812127523
2009,-0.543136133203706,0.338459541293373,-1.4697854395972
2010,0.444457903583879,-0.412328989172578,2.16356561794741
2011,-0.608836251433023,-0.645375584154657,-0.848786629360344
2012,-0.509423608705587,-0.372794938993366,-0.912180428738574
2013,0.269385185083741,0.719140544877602,0.107134683290666
2014,0.712694016902028,0.571936243802334,-0.415658652405895
2015,1.37405583053025,1.63186455921452,2.64501998795017
2016,1.11236625235893,0.654588573551437,2.20322822638087
2017,-0.0475212205925938,0.163815972993891,-0.957906544175479
2018,0.626705697278647,0.542132471310388,-0.179885285987368
