"Year","Anomaly","summer.anomaly","winter.anomaly"
2010,-0.634344755392418,-0.479955128573881,0.0140052882023866
2011,-0.586918907238685,0.283931312032823,-0.0546514974861345
2012,-2.07639782160101,-2.12952890137361,NA
2013,-0.270394362268031,-0.798250812901859,-0.0416398730879363
2014,-0.0101003607214908,NA,-0.299166754808366
2015,2.06392099256657,NA,2.88746918989209
2016,1.13923564912763,0.956178847448862,1.38795542408801
2017,0.402613834562264,0.627110747090437,-0.143944020553374
2018,0.624666313507124,0.749870603721262,0.163774873455842
2019,0.311569642666316,NA,0.369466752266001
