year,month,temp,sal,temp.na,sal.na,month.mean.temp,month.mean.sal,temp.anom,sal.anom,temp.col,Date,measurement,sample.date,name,Temp.year,Anomaly.year
2011,8,9.845161290322581,31.47741935483871,9.845161290322581,31.47741935483871,10.212494365222526,31.67506422048238,-0.3673330748999444,-0.1976448656436709,blue,2011-08-01,month,2011-08-13,2011-08-13,8.695045442908347,-0.18221583298508834
2012,7,9.233333333333333,31.666666666666668,9.233333333333333,31.666666666666668,10.10366344801278,31.63056568070188,-0.8703301146794473,0.0361009859647865,blue,2012-07-01,month,2012-07-04,2012-07-04,8.466176307007787,-0.411084968885648
2013,5,9.153846153846153,31.861538461538462,9.153846153846153,31.861538461538462,8.876745490868124,31.580736457058354,0.2771006629780288,0.2808020044801083,red,2013-05-01,month,2013-05-24,2013-05-24,8.817798814089137,-0.06694259775017468
2014,6,9.844827586206897,31.744827586206895,9.844827586206897,31.744827586206895,9.575530818471314,31.638971717237066,0.2692967677355824,0.10585586896982946,red,2014-06-01,month,2014-06-13,2014-06-13,9.119024494307448,0.24176321841401305
2015,5,10.5625,31.263636363636365,10.5625,31.263636363636365,8.876745490868124,31.580736457058354,1.6857545091318755,-0.3171000934219883,red,2015-05-01,month,2015-05-15,2015-05-15,10.614370883905366,1.7124215267970935
2016,6,11.373076923076923,32.10769230769231,11.373076923076923,32.10769230769231,9.575530818471314,31.638971717237066,1.7975461046056083,0.46872059045524495,red,2016-06-01,month,2016-06-06,2016-06-06,10.615492023177634,1.7382307472841996
2017,5,10.1,31.8,10.1,31.8,8.876745490868124,31.580736457058354,1.2232545091318752,0.21926354294164696,red,2017-05-01,month,2017-05-24,2017-05-24,10.1707456531758,1.2934843772823659
2018,6,10.954166666666667,31.458333333333332,10.954166666666667,31.458333333333332,9.575530818471314,31.638971717237066,1.3786358481953531,-0.18063838390373377,red,2018-06-01,month,2018-06-13,2018-06-13,9.46467396523898,0.5874126893455461
2019,5,9.916666666666666,31.345454545454547,9.916666666666666,31.345454545454547,8.876745490868124,31.580736457058354,1.0399211757985416,-0.2352819116038063,red,2019-05-01,month,2019-06-02,2019-06-02,10.269118421052632,1.3136590948565838
