taxon,taxon_corrected,lumping_notes,taxon_lumped,non-alga flag,motile_sessile,Notes
Polysiphonia pacifica,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica? turf,Polysiphonia pacifica,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia pacifica var delicatula,Polysiphonia pacifica var delicatula,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia paniculata,Polysiphonia paniculata,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia,Polysiphonia sp.,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia sp.,Polysiphonia sp.,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia spp,Polysiphonia sp.,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Polysiphonia stricta / senticulosa,Polysiphonia sp.,Polysiphonia,Polysiphonia,Algae,sessile,Likely need to lump these
Orange sponge,Porifera,,Porifera,Animal,sessile,
Orange Sponge,Porifera,,Porifera,Animal,sessile,
Purple sponge,Porifera,,Porifera,Animal,sessile,
Sponge,Porifera,,Porifera,Animal,sessile,
Tan Sponge,Porifera,,Porifera,Animal,sessile,
Unknown orange sponge,Porifera,,Porifera,Animal,sessile,
Prionitis sternbergii lanceolata,Prionitis sp.,Prionitis,Prionitis,Algae,sessile,
Prionitis?,Prionitis sp.,Prionitis,Prionitis,Algae,sessile,
Prionitis sternbergii,Prionitis sternbergii,Prionitis,Prionitis,Algae,sessile,
Pseudlolithophyllum muricatum,Pseudolithophyllum muricatum,,Pseudolithophyllum muricatum,Algae,sessile,
Pseudolithophyllum muricatum,Pseudolithophyllum muricatum,,Pseudolithophyllum muricatum,Algae,sessile,
Pterocladiella caloglossoides,Pterocladiella caloglossoides,,Pterocladiella caloglossoides,Algae,sessile,
Pterosiphonia bipinata,Pterosiphonia bipinnata,,Pterosiphonia bipinnata,Algae,sessile,
Pterosiphonia bipinnata,Pterosiphonia bipinnata,,Pterosiphonia bipinnata,Algae,sessile,
Pterosiphonia dendroidea,Pterosiphonia dendroidea,,Pterosiphonia dendroidea,Algae,sessile,
Pterosiphonia gracilis,Pterosiphonia gracilis,,Pterosiphonia gracilis,Algae,sessile,
Pterygophora californica,Pterygophora californica,,Pterygophora californica,Algae,sessile,
Ptilota serrata,Ptilota filicina,Ptilota,Ptilota,Algae,sessile,
Ptilota serrata filicina,Ptilota filicina,Ptilota,Ptilota,Algae,sessile,
Ptilota sp.,Ptilota sp.,Ptilota,Ptilota,Algae,sessile,
Ptilota spp.,Ptilota sp.,Ptilota,Ptilota,Algae,sessile,
Ptilota tenuis,Ptilota tenuis,Ptilota,Ptilota,Algae,sessile,
Pugetia firma,Ptilota tenuis,Ptilota,Ptilota,Algae,sessile,
Pugettia firma,Pugetia firma,,Pugetia firma,Algae,sessile,
Kelp crab,Pugettia producta,Pugettia,Pugettia,Animal,motile,
Pugettia producta,Pugettia producta,Pugettia,Pugettia,Animal,motile,
Pugettia,Pugettia sp.,Pugettia,Pugettia,Animal?,motile,
Punctaria,Punctaria sp.,,Punctaria sp.,Algae,sessile,
Punctaria sp.,Punctaria sp.,,Punctaria sp.,Algae,sessile,
Pycnopodia,Pycnopodia helianthoides,,Pycnopodia helianthoides,Animal,motile,
Pylaiella littoralis,Pylaiella littoralis,,Pylaiella littoralis,Algae,sessile,
Porphyra abbottiae,Pyropia abbottiae,,Pyropia abbottiae,Algae,sessile,
Porphyra abbottiea,Pyropia abbottiae,,Pyropia abbottiae,Algae,sessile,
Pyropia abbottiae,Pyropia abbottiae,,Pyropia abbottiae,Algae,sessile,
Pyropia fallax,Pyropia fallax,,Pyropia fallax,Algae,sessile,
Pyropia fucicola,Pyropia fucicola,,Pyropia fucicola,Algae,sessile,
Pyropia gardneri,Pyropia gardneri,,Pyropia gardneri,Algae,sessile,
Porphyra perforata,Pyropia perforata,,Pyropia perforata,Algae,sessile,
Pyropia perforata,Pyropia perforata,,Pyropia perforata,Algae,sessile,
Pyropia schizophylla,Pyropia schizophylla,,Wildemania schizophylla,Algae,sessile,
Pyropia smithii,Pyropia smithii,,Pyropia smithii,Algae,sessile,
Pyropia sp.,Pyropia sp.,REVISIT,Pyropia sp.,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Ralfisa,Ralfsioid,,Ralfsioid,Algae,sessile,
Ralfsia,Ralfsioid,,Ralfsioid,Algae,sessile,
Ralfsia fungiformis,Ralfsioid,,Ralfsioid,Algae,sessile,
Ralfsia pacifica,Ralfsioid,,Ralfsioid,Algae,sessile,
Ralfsia sp,Ralfsioid,,Ralfsioid,Algae,sessile,
Ralfsia sp [brown crust],Ralfsioid,,Ralfsioid,Algae,sessile,
Ralfsia sp.,Ralfsioid,,Ralfsioid,Algae,sessile,
Rhizoclonium tortuosum,Rhizoclonium tortuosum,,Rhizoclonium tortuosum,Algae,sessile,
Rhodochorton purpureum,Rhodochorton purpureum,,Rhodochorton purpureum,Algae,sessile,
Rhodocorton purpureum,Rhodochorton purpureum,,Rhodochorton purpureum,Algae,sessile,
Rhodymenia sp.,Rhodymenia sp.,,Rhodymenia sp.,Algae,sessile,
Riterella pulchra,Riterella pulchra,,Riterella pulchra,Animal,sessile,
Saccharina latissima,Saccharina latissima,,Saccharina latissima,Algae,sessile,
Saccharina latissimus,Saccharina latissima,,Saccharina latissima,Algae,sessile,
Saccharina groenlandica,Saccharina nigripes,,Saccharina nigripes,Algae,sessile,
Saccharina sessile,Saccharina sessilis,,Saccharina sessilis,Algae,sessile,
Saccharina sessilis,Saccharina sessilis,,Saccharina sessilis,Algae,sessile,
Salishia firma,Salishia firma,,Salishia firma,Algae,sessile,
Sand,Sand,,Sand,Substratum,NA,
Sargassum muticum,Sargassum muticum,,Sargassum muticum,Algae,sessile,
Scagelia occidentale,Scagelia occidentale,,Scagelia occidentale,Algae,sessile,
Schizymenia pacifica,Schizymenia pacifica,,Schizymenia pacifica,Algae,sessile,
Scytosiphon dotyi,Scytosiphon dotyi,,Scytosiphon dotyi,Algae,sessile,
Sytosiphon dotyi,Scytosiphon dotyi,,Scytosiphon dotyi,Algae,sessile,
Scytosiphon lomentaria,Scytosiphon lomentaria,,Scytosiphon lomentaria,Algae,sessile,
Scytosiphon lomentarii,Scytosiphon lomentaria,,Scytosiphon lomentaria,Algae,sessile,
Sea stars,Sea star,,Sea star,Animal,motile,
"Barnacles, acorn",Semibalanus cariosus,Barnacles,Barnacles,Animal,sessile,
Semibalanus cariosus,Semibalanus cariosus,Barnacles,Barnacles,Animal,sessile,
Semibalanus sp.,Semibalanus cariosus,Barnacles,Barnacles,Animal,sessile,
Smithora naiadum,Smithora naiadum,,Smithora naiadum,Algae,sessile,
Margarites or Calliostoma,Snail,,Snail,Animal,motile,
Snail,Snail,,Snail,Animal,motile,
Soranthera ulvoidea,Soranthera ulvoidea,,Soranthera ulvoidea,Algae,sessile,
Sparlingia pertusa,Sparlingia pertusa,,Sparlingia pertusa,Algae,sessile,
Sphacelaria rigidula,Sphacelaria rigidula,,Sphacelaria rigidula,Algae,sessile,
Spirorbidae,Spirorbidae,,Spirorbidae,Animal,sessile,
Spirorbis,Spirorbis,,Spirorbis,Animal,sessile,
Pseudolithophyllum neofarlowii,Spongites tumidum,,Spongites tumidum,Algae,sessile,
Pseudolithophyllum neofarlowii Spongites tumidum,Spongites tumidum,,Spongites tumidum,Algae,sessile,
Spongites tumidum,Spongites tumidum,,Spongites tumidum,Algae,sessile,
Green urchin,Strongylocentrotus droebachiensis,,Strongylocentrotus droebachiensis,Animal,motile,
Purple urchin,Strongylocentrotus purpuratus,,Strongylocentrotus purpuratus,Animal,sessile,
Purple Urchin,Strongylocentrotus purpuratus,,Strongylocentrotus purpuratus,Animal,motile,
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,,Strongylocentrotus purpuratus,Animal,motile,
Styela,Styela sp.,,Styela sp.,Animal,sessile,
Styella,Styela sp.,,Styela sp.,Animal,sessile,
Tegula,Tegula sp.,,Tegula sp.,Animal,motile,
Tiffaniella snyderae,Tiffaniella snyderae,,Tiffaniella snyderae,Algae,sessile,
Tokidadendron bullatum,Tokidadendron bullatum,,Tokidadendron bullatum,Algae,sessile,
Tonicella lineata,Tonicella lineata,,Tonicella lineata,Animal,motile,
Tonicella,Tonicella sp.,,Tonicella sp.,Animal,motile,
Sandy worm tubes,Tube worms,,Tube worms,Animal,sessile,
Tube worm,Tube worms,,Tube worms,Animal,sessile,
Tube worms,Tube worms,,Tube worms,Animal,sessile,
Tube worms small,Tube worms,,Tube worms,Animal,sessile,
Encrusting tunicate,Tunicata,,Tunicata,Animal,sessile,
Orange tunicate,Tunicata,,Tunicata,Animal,sessile,
Stalked tunicate,Tunicata,,Tunicata,Animal,sessile,
Tunicate,Tunicata,,Tunicata,Animal,sessile,
Unknown peach tunicate,Tunicata,,Tunicata,Animal,sessile,
Tunicate/Sponge,Tunicata/Porifera,,Tunicata/Porifera,Animal,sessile,
Ulothrix/Urospora,Ulothrix-Urospora sp.,,Ulothrix-Urospora sp.,Algae,sessile,
Ulva intestinalis,Ulva intestinalis,,Ulva intestinalis,Algae,sessile,
Ulva lactuca,Ulva lactuca,,Ulva lactuca,Algae,sessile,
Ulva linza,Ulva linza,,Ulva linza,Algae,sessile,
Ulva lobata,Ulva lobata,,Ulva lobata,Algae,sessile,
Ulva prolifera,Ulva prolifera,,Ulva prolifera,Algae,sessile,
Ulva sp.,Ulva sp.,Assume Ulva lactuca,Ulva lactuca,Algae,sessile,Try tO FIGURE OUT FROM LOCATION
Red Crust,Unknown crust,,Unknown crust,Algae,sessile,
Unknown black crust,Unknown crust,,Unknown crust,Algae,sessile,
Unknown brown crust,Unknown crust,,Unknown crust,Algae,sessile,
Unknown red crust,Unknown crust,,Unknown crust,Algae,sessile,
Unidentified turf,Unknown turf,,Unknown turf,Algae,sessile,
Wildmania cuneformis,Wildmania amplissima,,Wildmania amplissima,Algae,sessile,
Wildmania cuneiformis,Wildmania amplissima,,Wildmania amplissima,Algae,sessile,
Wildemania norrisii,Wildmania norrisii,,Wildmania norrisii,Algae,sessile,
Wildmania norrisii,Wildmania norrisii,,Wildmania norrisii,Algae,sessile,
Porphyra schizophylla,Wildmania schizophylla,,Wildmania schizophylla,Algae,sessile,
WOOD,Wood,,Wood,Substratum,NA,
Pink Worm,Worm,,Worm,Animal,motile,
Worm,Worm,,Worm,Animal,motile,
CORALLINE,Total corallines,,Total corallines,Algae,sessile,
