taxon,taxon_corrected,lumping_notes,taxon_lumped,non-alga flag,motile_sessile,Notes
BARE SAND,Bare rock,,Bare rock,Substratum,NA,
Barnacle,Barnacle,Barnacles,Barnacles,Animal,sessile,
Barnacle sp.,Barnacle,Barnacles,Barnacles,Animal,sessile,
Barnacles,Barnacle,Barnacles,Barnacles,Animal,sessile,
Bittium?,Bittium,,Bittium,Animal,motile,
Black spots on Fucus,Black spots on Fucus,,Black spots on Fucus,NA,sessile,
Blidingia dawsonii,Blidingia dawsonii,Blidingia,Blidingia,Algae,sessile,
Blidingia minima,Blidingia minima,Blidingia,Blidingia,Algae,sessile,
Blidingia sp.,Blidingia sp.,Blidingia,Blidingia,Algae,sessile,
Bossiella californica,Bossiella californica,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella dichotoma,Bossiella dichotoma,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella exarticulata,Bossiella exarticulata,Bossiella_crust,Bossiella_crust,Algae,sessile,
Bossiella flexulosa,Bossiella flexulosa,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bosiella frondescens,Bossiella frondescens,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella frondenscens,Bossiella frondescens,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella frondescens,Bossiella frondescens,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella frondifera,Bossiella frondifera,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella hakaiensis,Bossiella hakaiensis,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella manzae,Bossiella manzae,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella mayae,Bossiella mayae,Bossiella_crust,Bossiella_crust,Algae,sessile,
Bossiella plumosa,Bossiella plumosa,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella plumosa?,Bossiella plumosa,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella pseudodichotoma,Bossiella pseudodichotoma,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella reptans,Bossiella reptans,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella,Bossiella sp.,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella mayae/exarticulata,Bossiella sp. (crust),Bossiella_crust,Bossiella_crust,Algae,sessile,
Pseudolithophyllum whidbeyense,Bossiella sp. (crust),Bossiella_crust,Bossiella_crust,Algae,sessile,
Bossiella sp.2 chiloensis,Bossiella sp.2 chiloensis,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella sp.2chiloensis,Bossiella sp.2 chiloensis,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella sp.4 chiloensis,Bossiella sp.4 chiloensis,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella sp.5 chiloensis,Bossiella sp.5 chiloensis,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Bossiella sp.5 chiloensis [flexuosa],Bossiella sp.5 chiloensis,Bossiella_articulate,Bossiella_articulate,Algae,sessile,
Brittle star,Brittle star,,Brittle star,Animal,motile,
Brown crust,Brown crust,,Ralfsioid,Algae,sessile,
Bryozoan,Bryozoan,,Bryozoan,Animal,sessile,
Bryozoans,Bryozoan,,Bryozoan,Animal,sessile,
Encrusting bryozoan,Bryozoan,,Bryozoan,Animal,sessile,
Unknown orange encrusting bryozoan,Bryozoan,,Bryozoan,Animal,sessile,
Calliarthron tuberculosum,Calliarthron tuberculosum,,Calliarthron tuberculosum,Algae,sessile,
Calliostoma,Calliostoma,,Calliostoma,Animal,motile,
