1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BA0000002BBFE721
Is Mission Active?  true
Mission Start:  Thu Jun 12 22:01:00 PDT 2014
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2309
Total Samples:  4454
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/7/14 10:01:00 AM,C,16.5
7/7/14 2:01:00 PM,C,22
7/7/14 6:01:00 PM,C,26
7/7/14 10:01:00 PM,C,15
7/8/14 2:01:00 AM,C,11
7/8/14 6:01:00 AM,C,11.5
7/8/14 10:01:00 AM,C,14
7/8/14 2:01:00 PM,C,24
7/8/14 6:01:00 PM,C,26
7/8/14 10:01:00 PM,C,16
7/9/14 2:01:00 AM,C,14
7/9/14 6:01:00 AM,C,13.5
7/9/14 10:01:00 AM,C,18.5
7/9/14 2:01:00 PM,C,20
7/9/14 6:01:00 PM,C,22
7/9/14 10:01:00 PM,C,15.5
7/10/14 2:01:00 AM,C,13
7/10/14 6:01:00 AM,C,11.5
7/10/14 10:01:00 AM,C,20
7/10/14 2:01:00 PM,C,15.5
7/10/14 6:01:00 PM,C,24
7/10/14 10:01:00 PM,C,16.5
7/11/14 2:01:00 AM,C,13.5
7/11/14 6:01:00 AM,C,11.5
7/11/14 10:01:00 AM,C,17.5
7/11/14 2:01:00 PM,C,27
7/11/14 6:01:00 PM,C,22.5
7/11/14 10:01:00 PM,C,15
7/12/14 2:01:00 AM,C,14
7/12/14 6:01:00 AM,C,19.5
7/12/14 10:01:00 AM,C,16
7/12/14 2:01:00 PM,C,18.5
7/12/14 6:01:00 PM,C,20
7/12/14 10:01:00 PM,C,20
7/13/14 2:01:00 AM,C,20.5
7/13/14 6:01:00 AM,C,18.5
7/13/14 10:01:00 AM,C,16
7/13/14 2:01:00 PM,C,18
7/13/14 6:01:00 PM,C,20
7/13/14 10:01:00 PM,C,21
7/14/14 2:01:00 AM,C,20.5
7/14/14 6:01:00 AM,C,20.5
7/14/14 10:01:00 AM,C,18
7/14/14 2:01:00 PM,C,13
7/14/14 6:01:00 PM,C,13
7/14/14 10:01:00 PM,C,14
7/15/14 2:01:00 AM,C,12.5
7/15/14 6:01:00 AM,C,12
7/15/14 10:01:00 AM,C,17
7/15/14 2:01:00 PM,C,13.5
7/15/14 6:01:00 PM,C,13
7/15/14 10:01:00 PM,C,14
7/16/14 2:01:00 AM,C,12.5
7/16/14 6:01:00 AM,C,12
7/16/14 10:01:00 AM,C,16
7/16/14 2:01:00 PM,C,19
7/16/14 6:01:00 PM,C,13.5
7/16/14 10:01:00 PM,C,12.5
7/17/14 2:01:00 AM,C,11
7/17/14 6:01:00 AM,C,11.5
7/17/14 10:01:00 AM,C,14.5
7/17/14 2:01:00 PM,C,22.5
7/17/14 6:01:00 PM,C,12
7/17/14 10:01:00 PM,C,12
7/18/14 2:01:00 AM,C,13
7/18/14 6:01:00 AM,C,11.5
7/18/14 10:01:00 AM,C,13.5
7/18/14 2:01:00 PM,C,15
7/18/14 6:01:00 PM,C,11
7/18/14 10:01:00 PM,C,13
7/19/14 2:01:00 AM,C,13.5
7/19/14 6:01:00 AM,C,12
7/19/14 10:01:00 AM,C,14
7/19/14 2:01:00 PM,C,23
7/19/14 6:01:00 PM,C,13
7/19/14 10:01:00 PM,C,13
7/20/14 2:01:00 AM,C,12.5
7/20/14 6:01:00 AM,C,12.5
7/20/14 10:01:00 AM,C,13.5
7/20/14 2:01:00 PM,C,26
7/20/14 6:01:00 PM,C,15
7/20/14 10:01:00 PM,C,14.5
7/21/14 2:01:00 AM,C,13
7/21/14 6:01:00 AM,C,13
7/21/14 10:01:00 AM,C,12.5
7/21/14 2:01:00 PM,C,13
7/21/14 6:01:00 PM,C,12.5
7/21/14 10:01:00 PM,C,12.5
7/22/14 2:01:00 AM,C,12
7/22/14 6:01:00 AM,C,12
7/22/14 10:01:00 AM,C,13
7/22/14 2:01:00 PM,C,13.5
7/22/14 6:01:00 PM,C,24
7/22/14 10:01:00 PM,C,14
7/23/14 2:01:00 AM,C,13
7/23/14 6:01:00 AM,C,12.5
7/23/14 10:01:00 AM,C,19
7/23/14 2:01:00 PM,C,15.5
7/23/14 6:01:00 PM,C,29.5
7/23/14 10:01:00 PM,C,14.5
7/24/14 2:01:00 AM,C,13.5
7/24/14 6:01:00 AM,C,13.5
7/24/14 10:01:00 AM,C,14
7/24/14 2:01:00 PM,C,14
7/24/14 6:01:00 PM,C,15
7/24/14 10:01:00 PM,C,13
7/25/14 2:01:00 AM,C,13
7/25/14 6:01:00 AM,C,12.5
7/25/14 10:01:00 AM,C,16.5
7/25/14 2:01:00 PM,C,13
7/25/14 6:01:00 PM,C,23.5
7/25/14 10:01:00 PM,C,14.5
