year,month,temp,sal,temp.na,sal.na,month.mean.temp,month.mean.sal,temp.anom,sal.anom,temp.col
1957,11,9.903333333333334,31.883333333333333,9.903333333333334,31.883333333333333,9.08035994184582,31.5418273370262,0.8229733914875137,0.3415059963071343,red
1957,12,8.887096774193548,31.483870967741936,8.887096774193548,31.483870967741936,8.180908241020136,31.32159809339847,0.7061885331734121,0.16227287434346493,red
1958,1,8.09032258064516,31.20967741935484,8.09032258064516,31.20967741935484,7.60069180444577,31.23129952020633,0.489630776199391,-0.02162210085149141,red
1958,2,8.207142857142857,31.057142857142857,8.207142857142857,31.057142857142857,7.456543517747824,31.14206481651137,0.7505993393950332,-0.08492195936851132,red
1958,3,8.374193548387098,31.103225806451615,8.374193548387098,31.103225806451615,7.578145729368105,31.261255218688806,0.7960478190189928,-0.15802941223719102,red
1958,4,8.793333333333333,31.253333333333334,8.793333333333333,31.253333333333334,8.102310622297253,31.387670277327462,0.69102271103608,-0.13433694399412843,red
1958,5,9.406451612903226,31.638709677419357,9.406451612903226,31.638709677419357,8.876745490868124,31.580736457058354,0.5297061220351011,0.05797322036100283,red
1958,6,10.256666666666666,31.703333333333333,10.256666666666666,31.703333333333333,9.575530818471314,31.638971717237066,0.6811358481953516,0.06436161609626723,red
1958,7,10.451612903225806,31.635483870967743,10.451612903225806,31.635483870967743,10.10366344801278,31.63056568070188,0.3479494552130262,0.0049181902658617105,red
1958,8,10.625806451612902,31.625806451612902,10.625806451612902,31.625806451612902,10.212494365222526,31.67506422048238,0.413312086390377,-0.0492577688694773,red
1958,9,10.376666666666667,31.606666666666666,10.376666666666667,31.606666666666666,9.978104798685948,31.797038236233192,0.39856186798071924,-0.19037156956652623,red
1958,10,9.635483870967741,31.674193548387098,9.635483870967741,31.674193548387098,9.781636532735615,31.809087634147133,-0.14615266176787323,-0.1348940857600347,blue
1958,11,8.933333333333334,31.61,8.933333333333334,31.61,9.08035994184582,31.5418273370262,-0.14702660851248694,0.06817266297380087,blue
1958,12,8.35483870967742,31.37741935483871,8.35483870967742,31.37741935483871,8.180908241020136,31.32159809339847,0.173930468657284,0.05582126144024002,red
1959,1,7.493548387096774,31.196774193548386,7.493548387096774,31.196774193548386,7.60069180444577,31.23129952020633,-0.10714341734899602,-0.0345253266579455,blue
1959,2,7.453571428571428,31.267857142857142,7.453571428571428,31.267857142857142,7.456543517747824,31.14206481651137,-0.002972089176395798,0.12579232634577409,blue
1959,3,7.567741935483871,31.31290322580645,7.567741935483871,31.31290322580645,7.578145729368105,31.261255218688806,-0.01040379388423407,0.05164800711764528,blue
1959,4,8.036666666666667,31.54,8.036666666666667,31.54,8.102310622297253,31.387670277327462,-0.06564395563058589,0.15232972267253686,blue
1959,5,8.72258064516129,31.664516129032258,8.72258064516129,31.664516129032258,8.876745490868124,31.580736457058354,-0.15416484570683409,0.0837796719739039,blue
1959,6,9.626666666666667,31.703333333333333,9.626666666666667,31.703333333333333,9.575530818471314,31.638971717237066,0.05113584819535255,0.06436161609626723,red
1959,7,10.016129032258064,31.74,10.016129032258064,31.74,10.10366344801278,31.63056568070188,-0.08753441575471577,0.10943431929811709,blue
1959,8,9.961290322580645,31.732258064516127,9.961290322580645,31.732258064516127,10.212494365222526,31.67506422048238,-0.2512040426418807,0.05719384403374761,blue
1959,9,9.803333333333333,31.946666666666665,9.803333333333333,31.946666666666665,9.978104798685948,31.797038236233192,-0.1747714653526149,0.14962843043347362,blue
1959,10,9.387096774193548,32.174193548387095,9.387096774193548,32.174193548387095,9.781636532735615,31.809087634147133,-0.39453975854206647,0.36510591423996175,blue
1959,11,8.436666666666667,32.06,8.436666666666667,32.06,9.08035994184582,31.5418273370262,-0.6436932751791531,0.5181726629738037,blue
1959,12,7.864516129032258,31.66774193548387,7.864516129032258,31.66774193548387,8.180908241020136,31.32159809339847,-0.3163921119878781,0.34614384208540017,blue
1960,1,7.135483870967742,31.43225806451613,7.135483870967742,31.43225806451613,7.60069180444577,31.23129952020633,-0.4652079334780277,0.20095854430979898,blue
1960,2,7.286206896551724,31.514285714285716,7.286206896551724,31.514285714285716,7.456543517747824,31.14206481651137,-0.1703366211960997,0.37222089777434775,blue
1960,3,7.116129032258065,31.574193548387097,7.116129032258065,31.574193548387097,7.578145729368105,31.261255218688806,-0.4620166971100401,0.31293832969829083,blue
1960,4,7.85,31.546666666666667,7.85,31.546666666666667,8.102310622297253,31.387670277327462,-0.2523106222972533,0.15899638933920457,blue
1960,5,9.022580645161291,31.43548387096774,9.022580645161291,31.43548387096774,8.876745490868124,31.580736457058354,0.14583515429316662,-0.14525258609061353,red
1960,6,9.226666666666667,31.486666666666668,9.226666666666667,31.486666666666668,9.575530818471314,31.638971717237066,-0.3488641518046478,-0.15230505057039778,blue
1960,7,9.793548387096774,31.593548387096774,9.793548387096774,31.593548387096774,10.10366344801278,31.63056568070188,-0.31011506091600616,-0.03701729360510697,blue
1960,8,9.674193548387096,31.658064516129034,9.674193548387096,31.658064516129034,10.212494365222526,31.67506422048238,-0.5383008168354291,-0.016999704353345635,blue
1960,9,9.243333333333334,31.893333333333334,9.243333333333334,31.893333333333334,9.978104798685948,31.797038236233192,-0.7347714653526136,0.09629509710014261,blue
1960,10,9.393548387096775,31.919354838709676,9.393548387096775,31.919354838709676,9.781636532735615,31.809087634147133,-0.3880881456388394,0.11026720456254324,blue
1960,11,8.773333333333333,31.523333333333333,8.773333333333333,31.523333333333333,9.08035994184582,31.5418273370262,-0.3070266085124871,-0.018494003692865135,blue
1960,12,8.1,31.54193548387097,8.1,31.54193548387097,8.180908241020136,31.32159809339847,-0.08090824102013627,0.22033739047249767,blue
1961,1,7.974193548387096,31.170967741935485,7.974193548387096,31.170967741935485,7.60069180444577,31.23129952020633,0.3735017439413264,-0.06033177827084657,red
1961,2,7.871428571428571,30.942857142857143,7.871428571428571,30.942857142857143,7.456543517747824,31.14206481651137,0.4148850536807469,-0.1992076736542252,red
1961,3,7.996774193548387,30.793548387096774,7.996774193548387,30.793548387096774,7.578145729368105,31.261255218688806,0.41862846418028266,-0.4677068315920323,red
1961,4,8.29,31.103333333333335,8.29,31.103333333333335,8.102310622297253,31.387670277327462,0.18768937770274619,-0.284336943994127,red
1961,5,9.080645161290322,31.516129032258064,9.080645161290322,31.516129032258064,8.876745490868124,31.580736457058354,0.2038996704221976,-0.06460742480028969,red
1961,6,10,31.57,10,31.57,9.575530818471314,31.638971717237066,0.4244691815286856,-0.06897171723706563,red
1961,7,10.287096774193548,31.725806451612904,10.287096774193548,31.725806451612904,10.10366344801278,31.63056568070188,0.18343332618076857,0.09524077091102257,red
1961,8,10.290322580645162,31.793548387096774,10.290322580645162,31.793548387096774,10.212494365222526,31.67506422048238,0.0778282154226364,0.11848416661439387,red
1961,9,9.823333333333334,31.886666666666667,9.823333333333334,31.886666666666667,9.978104798685948,31.797038236233192,-0.15477146535261355,0.0896284304334749,blue
1961,10,8.725806451612904,32.012903225806454,8.725806451612904,32.012903225806454,9.781636532735615,31.809087634147133,-1.0558300811227106,0.20381559165932117,blue
1961,11,7.793333333333333,32.01,7.793333333333333,32.01,9.08035994184582,31.5418273370262,-1.2870266085124875,0.46817266297379945,blue
1961,12,7.116129032258065,31.89032258064516,7.116129032258065,31.89032258064516,8.180908241020136,31.32159809339847,-1.0647792087620713,0.5687244872466906,blue
1962,1,7.02258064516129,31.480645161290322,7.02258064516129,31.480645161290322,7.60069180444577,31.23129952020633,-0.5781111592844796,0.24934564108399115,blue
1962,2,7.160714285714286,31.410714285714285,7.160714285714286,31.410714285714285,7.456543517747824,31.14206481651137,-0.2958292320335385,0.26864946920291644,blue
1962,3,6.887096774193548,31.88064516129032,6.887096774193548,31.88064516129032,7.578145729368105,31.261255218688806,-0.6910489551745567,0.619389942601515,blue
1962,4,7.616666666666666,31.98,7.616666666666666,31.98,8.102310622297253,31.387670277327462,-0.4856439556305867,0.5923297226725381,blue
1962,5,8.46774193548387,31.954838709677418,8.46774193548387,31.954838709677418,8.876745490868124,31.580736457058354,-0.40900355538425437,0.37410225261906405,blue
1962,6,9.129999999999999,32.086666666666666,9.129999999999999,32.086666666666666,9.575530818471314,31.638971717237066,-0.44553081847131537,0.4476949494296001,blue
1962,7,10,32.04516129032258,10,32.04516129032258,10.10366344801278,31.63056568070188,-0.10366344801277982,0.41459560962070086,blue
1962,8,9.906451612903226,31.912903225806453,9.906451612903226,31.912903225806453,10.212494365222526,31.67506422048238,-0.3060427523192999,0.23783900532407287,blue
1962,9,9.3966666666666665,32.01,9.3966666666666665,32.01,9.978104798685948,31.797038236233192,-0.5814381320192812,0.2129617637668062,blue
1962,10,10.229032258064516,31.661290322580644,10.229032258064516,31.661290322580644,9.781636532735615,31.809087634147133,0.44739572532890115,-0.1477973115664888,red
1962,11,9.723333333333333,31.45,9.723333333333333,31.45,9.08035994184582,31.5418273370262,0.6429733914875122,-0.09182733702619927,red
1962,12,8.809677419354838,30.774193548387096,8.809677419354838,30.774193548387096,8.180908241020136,31.32159809339847,0.6287691783347018,-0.5474045450113749,red
1963,1,8.083870967741936,30.980645161290322,8.083870967741936,30.980645161290322,7.60069180444577,31.23129952020633,0.4831791632961657,-0.25065435891600885,red
